No,Uid,Jid,offloadtime,commutime,runtime,energy,AoI,state
123,7,16,0.25,0.002158346930688922,0.08,0.013903950846727336,0.28,CP
124,7,12,0.2,0.002158346930688922,0.08,0.013903950846727336,0.46,CP
125,8,8,0.15,0.0014388979537926143,0.09,0.009269300564484887,0.64,CP
126,7,8,0.15,0.002158346930688922,0.08,0.013903950846727336,0.76,CP
127,8,4,0.1,0.0014388979537926143,0.09,0.009269300564484887,0.94,CP
128,7,4,0.1,0.002158346930688922,0.08,0.013903950846727336,1.05,CP
129,9,0,0.05,0.0007194489768963071,0.1,0.0046346502822424435,1.24,CP
130,8,0,0.05,0.0014388979537926143,0.09,0.009269300564484887,1.36,CP
131,7,0,0.05,0.002158346930688922,0.08,0.013903950846727336,1.48,CP
132,9,4,0.1,0.0007194489768963071,0.1,0.0046346502822424435,0.07,CP
133,8,12,0.2,0.0014388979537926143,0.09,0.009269300564484887,0.09,CP
134,7,20,0.3,0.002158346930688922,0.08,0.013903950846727336,0.11,CP
135,7,16,0.25,0.002158346930688922,0.08,0.013903950846727336,0.28,CP
136,7,12,0.2,0.002158346930688922,0.08,0.013903950846727336,0.46,CP
137,8,8,0.15,0.0014388979537926143,0.09,0.009269300564484887,0.64,CP
138,7,8,0.15,0.002158346930688922,0.08,0.013903950846727336,0.76,CP
139,8,4,0.1,0.0014388979537926143,0.09,0.009269300564484887,0.94,CP
140,7,4,0.1,0.002158346930688922,0.08,0.013903950846727336,1.05,CP
141,9,0,0.05,0.0007194489768963071,0.1,0.0046346502822424435,1.24,CP
142,8,0,0.05,0.0014388979537926143,0.09,0.009269300564484887,1.36,CP
143,7,0,0.05,0.002158346930688922,0.08,0.013903950846727336,1.48,CP
144,9,4,0.1,0.0007194489768963071,0.1,0.0046346502822424435,0.07,CP
145,8,12,0.2,0.0014388979537926143,0.09,0.009269300564484887,0.09,CP
146,7,20,0.3,0.002158346930688922,0.08,0.013903950846727336,0.11,CP
147,7,16,0.25,0.002158346930688922,0.08,0.013903950846727336,0.28,CP
148,7,12,0.2,0.002158346930688922,0.08,0.013903950846727336,0.46,CP
149,8,8,0.15,0.0014388979537926143,0.09,0.009269300564484887,0.64,CP
150,7,8,0.15,0.002158346930688922,0.08,0.013903950846727336,0.76,CP
151,8,4,0.1,0.0014388979537926143,0.09,0.009269300564484887,0.94,CP
152,7,4,0.1,0.002158346930688922,0.08,0.013903950846727336,1.05,CP
153,9,0,0.05,0.0007194489768963071,0.1,0.0046346502822424435,1.24,CP
154,8,0,0.05,0.0014388979537926143,0.09,0.009269300564484887,1.36,CP
155,7,0,0.05,0.002158346930688922,0.08,0.013903950846727336,1.48,CP
156,9,4,0.1,0.0007194489768963071,0.1,0.0046346502822424435,0.07,CP
157,8,12,0.2,0.0014388979537926143,0.09,0.009269300564484887,0.09,CP
158,7,20,0.3,0.002158346930688922,0.08,0.013903950846727336,0.11,CP
159,7,16,0.25,0.002158346930688922,0.08,0.013903950846727336,0.28,CP
160,7,12,0.2,0.002158346930688922,0.08,0.013903950846727336,0.46,CP
161,8,8,0.15,0.0014388979537926143,0.09,0.009269300564484887,0.64,CP
162,7,8,0.15,0.002158346930688922,0.08,0.013903950846727336,0.76,CP
163,8,4,0.1,0.0014388979537926143,0.09,0.009269300564484887,0.94,CP
164,7,4,0.1,0.002158346930688922,0.08,0.013903950846727336,1.05,CP
165,9,0,0.05,0.0007194489768963071,0.1,0.0046346502822424435,1.24,CP
166,8,0,0.05,0.0014388979537926143,0.09,0.009269300564484887,1.36,CP
167,7,0,0.05,0.002158346930688922,0.08,0.013903950846727336,1.48,CP
168,9,4,0.1,0.0007194489768963071,0.1,0.0046346502822424435,0.07,CP
169,8,12,0.2,0.0014388979537926143,0.09,0.009269300564484887,0.09,CP
170,7,20,0.3,0.002158346930688922,0.08,0.013903950846727336,0.11,CP
171,7,16,0.25,0.002158346930688922,0.08,0.013903950846727336,0.28,CP
172,7,12,0.2,0.002158346930688922,0.08,0.013903950846727336,0.46,CP
173,8,8,0.15,0.0014388979537926143,0.09,0.009269300564484887,0.64,CP
174,7,8,0.15,0.002158346930688922,0.08,0.013903950846727336,0.76,CP
175,8,4,0.1,0.0014388979537926143,0.09,0.009269300564484887,0.94,CP
176,7,4,0.1,0.002158346930688922,0.08,0.013903950846727336,1.05,CP
177,9,0,0.05,0.0007194489768963071,0.1,0.0046346502822424435,1.24,CP
178,8,0,0.05,0.0014388979537926143,0.09,0.009269300564484887,1.36,CP
179,7,0,0.05,0.002158346930688922,0.08,0.013903950846727336,1.48,CP
180,9,4,0.1,0.0007194489768963071,0.1,0.0046346502822424435,0.07,CP
181,8,12,0.2,0.0014388979537926143,0.09,0.009269300564484887,0.09,CP
182,7,20,0.3,0.002158346930688922,0.08,0.013903950846727336,0.11,CP
183,7,16,0.25,0.002158346930688922,0.08,0.013903950846727336,0.28,CP
184,7,12,0.2,0.002158346930688922,0.08,0.013903950846727336,0.46,CP
185,8,8,0.15,0.0014388979537926143,0.09,0.009269300564484887,0.64,CP
186,7,8,0.15,0.002158346930688922,0.08,0.013903950846727336,0.76,CP
187,8,4,0.1,0.0014388979537926143,0.09,0.009269300564484887,0.94,CP
188,7,4,0.1,0.002158346930688922,0.08,0.013903950846727336,1.05,CP
189,9,0,0.05,0.0007194489768963071,0.1,0.0046346502822424435,1.24,CP
190,8,0,0.05,0.0014388979537926143,0.09,0.009269300564484887,1.36,CP
191,7,0,0.05,0.002158346930688922,0.08,0.013903950846727336,1.48,CP
192,9,4,0.1,0.0007194489768963071,0.1,0.0046346502822424435,0.07,CP
193,8,12,0.2,0.0014388979537926143,0.09,0.009269300564484887,0.09,CP
194,7,20,0.3,0.002158346930688922,0.08,0.013903950846727336,0.11,CP
195,7,16,0.25,0.002158346930688922,0.08,0.013903950846727336,0.28,CP
196,7,12,0.2,0.002158346930688922,0.08,0.013903950846727336,0.46,CP
197,8,8,0.15,0.0014388979537926143,0.09,0.009269300564484887,0.64,CP
198,7,8,0.15,0.002158346930688922,0.08,0.013903950846727336,0.76,CP
199,8,4,0.1,0.0014388979537926143,0.09,0.009269300564484887,0.94,CP
200,7,4,0.1,0.002158346930688922,0.08,0.013903950846727336,1.05,CP
201,9,0,0.05,0.0007194489768963071,0.1,0.0046346502822424435,1.24,CP
202,8,0,0.05,0.0014388979537926143,0.09,0.009269300564484887,1.36,CP
203,7,0,0.05,0.002158346930688922,0.08,0.013903950846727336,1.48,CP
204,9,4,0.1,0.0007194489768963071,0.1,0.0046346502822424435,0.07,CP
205,8,12,0.2,0.0014388979537926143,0.09,0.009269300564484887,0.09,CP
206,7,20,0.3,0.002158346930688922,0.08,0.013903950846727336,0.11,CP
207,7,16,0.25,0.002158346930688922,0.08,0.013903950846727336,0.28,CP
208,7,12,0.2,0.002158346930688922,0.08,0.013903950846727336,0.46,CP
209,8,8,0.15,0.0014388979537926143,0.09,0.009269300564484887,0.64,CP
210,7,8,0.15,0.002158346930688922,0.08,0.013903950846727336,0.76,CP
211,8,4,0.1,0.0014388979537926143,0.09,0.009269300564484887,0.94,CP
212,7,4,0.1,0.002158346930688922,0.08,0.013903950846727336,1.05,CP
213,9,0,0.05,0.0007194489768963071,0.1,0.0046346502822424435,1.24,CP
214,8,0,0.05,0.0014388979537926143,0.09,0.009269300564484887,1.36,CP
215,7,0,0.05,0.002158346930688922,0.08,0.013903950846727336,1.48,CP
216,9,4,0.1,0.0007194489768963071,0.1,0.0046346502822424435,0.07,CP
217,8,12,0.2,0.0014388979537926143,0.09,0.009269300564484887,0.09,CP
218,7,20,0.3,0.002158346930688922,0.08,0.013903950846727336,0.11,CP
219,7,16,0.25,0.002158346930688922,0.08,0.013903950846727336,0.28,CP
220,7,12,0.2,0.002158346930688922,0.08,0.013903950846727336,0.46,CP
221,8,8,0.15,0.0014388979537926143,0.09,0.009269300564484887,0.64,CP
222,7,8,0.15,0.002158346930688922,0.08,0.013903950846727336,0.76,CP
223,8,4,0.1,0.0014388979537926143,0.09,0.009269300564484887,0.94,CP
224,7,4,0.1,0.002158346930688922,0.08,0.013903950846727336,1.05,CP
225,9,0,0.05,0.0007194489768963071,0.1,0.0046346502822424435,1.24,CP
226,8,0,0.05,0.0014388979537926143,0.09,0.009269300564484887,1.36,CP
227,7,0,0.05,0.002158346930688922,0.08,0.013903950846727336,1.48,CP
228,9,4,0.1,0.0007194489768963071,0.1,0.0046346502822424435,0.07,CP
229,8,12,0.2,0.0014388979537926143,0.09,0.009269300564484887,0.09,CP
230,7,20,0.3,0.002158346930688922,0.08,0.013903950846727336,0.11,CP
231,7,16,0.25,0.002158346930688922,0.08,0.013903950846727336,0.28,CP
232,7,12,0.2,0.002158346930688922,0.08,0.013903950846727336,0.46,CP
233,8,8,0.15,0.0014388979537926143,0.09,0.009269300564484887,0.64,CP
234,7,8,0.15,0.002158346930688922,0.08,0.013903950846727336,0.76,CP
235,8,4,0.1,0.0014388979537926143,0.09,0.009269300564484887,0.94,CP
236,7,4,0.1,0.002158346930688922,0.08,0.013903950846727336,1.05,CP
237,9,0,0.05,0.0007194489768963071,0.1,0.0046346502822424435,1.24,CP
238,8,0,0.05,0.0014388979537926143,0.09,0.009269300564484887,1.36,CP
239,7,0,0.05,0.002158346930688922,0.08,0.013903950846727336,1.48,CP
240,9,4,0.1,0.0007194489768963071,0.1,0.0046346502822424435,0.07,CP
241,8,12,0.2,0.0014388979537926143,0.09,0.009269300564484887,0.09,CP
242,7,20,0.3,0.002158346930688922,0.08,0.013903950846727336,0.11,CP
243,7,16,0.25,0.002158346930688922,0.08,0.013903950846727336,0.28,CP
244,7,12,0.2,0.002158346930688922,0.08,0.013903950846727336,0.46,CP
245,8,8,0.15,0.0014388979537926143,0.09,0.009269300564484887,0.64,CP
246,7,8,0.15,0.002158346930688922,0.08,0.013903950846727336,0.76,CP
247,8,4,0.1,0.0014388979537926143,0.09,0.009269300564484887,0.94,CP
248,7,4,0.1,0.002158346930688922,0.08,0.013903950846727336,1.05,CP
249,9,0,0.05,0.0007194489768963071,0.1,0.0046346502822424435,1.24,CP
250,8,0,0.05,0.0014388979537926143,0.09,0.009269300564484887,1.36,CP
251,7,0,0.05,0.002158346930688922,0.08,0.013903950846727336,1.48,CP
252,9,4,0.1,0.0007194489768963071,0.1,0.0046346502822424435,0.07,CP
253,8,12,0.2,0.0014388979537926143,0.09,0.009269300564484887,0.09,CP
254,7,20,0.3,0.002158346930688922,0.08,0.013903950846727336,0.11,CP
255,7,16,0.25,0.002158346930688922,0.08,0.013903950846727336,0.28,CP
256,7,12,0.2,0.002158346930688922,0.08,0.013903950846727336,0.46,CP
257,8,8,0.15,0.0014388979537926143,0.09,0.009269300564484887,0.64,CP
258,7,8,0.15,0.002158346930688922,0.08,0.013903950846727336,0.76,CP
259,8,4,0.1,0.0014388979537926143,0.09,0.009269300564484887,0.94,CP
260,7,4,0.1,0.002158346930688922,0.08,0.013903950846727336,1.05,CP
261,9,0,0.05,0.0007194489768963071,0.1,0.0046346502822424435,1.24,CP
262,8,0,0.05,0.0014388979537926143,0.09,0.009269300564484887,1.36,CP
263,7,0,0.05,0.002158346930688922,0.08,0.013903950846727336,1.48,CP
264,9,4,0.1,0.0007194489768963071,0.1,0.0046346502822424435,0.07,CP
265,8,12,0.2,0.0014388979537926143,0.09,0.009269300564484887,0.09,CP
266,7,20,0.3,0.002158346930688922,0.08,0.013903950846727336,0.11,CP
267,7,16,0.25,0.002158346930688922,0.08,0.013903950846727336,0.28,CP
268,7,12,0.2,0.002158346930688922,0.08,0.013903950846727336,0.46,CP
269,8,8,0.15,0.0014388979537926143,0.09,0.009269300564484887,0.64,CP
270,7,8,0.15,0.002158346930688922,0.08,0.013903950846727336,0.76,CP
271,8,4,0.1,0.0014388979537926143,0.09,0.009269300564484887,0.94,CP
272,7,4,0.1,0.002158346930688922,0.08,0.013903950846727336,1.05,CP
273,9,0,0.05,0.0007194489768963071,0.1,0.0046346502822424435,1.24,CP
274,8,0,0.05,0.0014388979537926143,0.09,0.009269300564484887,1.36,CP
275,7,0,0.05,0.002158346930688922,0.08,0.013903950846727336,1.48,CP
276,9,4,0.1,0.0007194489768963071,0.1,0.0046346502822424435,0.07,CP
277,8,12,0.2,0.0014388979537926143,0.09,0.009269300564484887,0.09,CP
278,7,20,0.3,0.002158346930688922,0.08,0.013903950846727336,0.11,CP
279,7,16,0.25,0.002158346930688922,0.08,0.013903950846727336,0.28,CP
280,7,12,0.2,0.002158346930688922,0.08,0.013903950846727336,0.46,CP
281,8,8,0.15,0.0014388979537926143,0.09,0.009269300564484887,0.64,CP
282,7,8,0.15,0.002158346930688922,0.08,0.013903950846727336,0.76,CP
283,8,4,0.1,0.0014388979537926143,0.09,0.009269300564484887,0.94,CP
284,7,4,0.1,0.002158346930688922,0.08,0.013903950846727336,1.05,CP
285,9,0,0.05,0.0007194489768963071,0.1,0.0046346502822424435,1.24,CP
286,8,0,0.05,0.0014388979537926143,0.09,0.009269300564484887,1.36,CP
287,7,0,0.05,0.002158346930688922,0.08,0.013903950846727336,1.48,CP
288,9,4,0.1,0.0007194489768963071,0.1,0.0046346502822424435,0.07,CP
289,8,12,0.2,0.0014388979537926143,0.09,0.009269300564484887,0.09,CP
290,7,20,0.3,0.002158346930688922,0.08,0.013903950846727336,0.11,CP
291,7,16,0.25,0.002158346930688922,0.08,0.013903950846727336,0.28,CP
292,7,12,0.2,0.002158346930688922,0.08,0.013903950846727336,0.46,CP
293,8,8,0.15,0.0014388979537926143,0.09,0.009269300564484887,0.64,CP
294,7,8,0.15,0.002158346930688922,0.08,0.013903950846727336,0.76,CP
295,8,4,0.1,0.0014388979537926143,0.09,0.009269300564484887,0.94,CP
296,7,4,0.1,0.002158346930688922,0.08,0.013903950846727336,1.05,CP
297,9,0,0.05,0.0007194489768963071,0.1,0.0046346502822424435,1.24,CP
298,8,0,0.05,0.0014388979537926143,0.09,0.009269300564484887,1.36,CP
299,7,0,0.05,0.002158346930688922,0.08,0.013903950846727336,1.48,CP
300,9,4,0.1,0.0007194489768963071,0.1,0.0046346502822424435,0.07,CP
301,8,12,0.2,0.0014388979537926143,0.09,0.009269300564484887,0.09,CP
302,7,20,0.3,0.002158346930688922,0.08,0.013903950846727336,0.11,CP
303,7,16,0.25,0.002158346930688922,0.08,0.013903950846727336,0.28,CP
304,7,12,0.2,0.002158346930688922,0.08,0.013903950846727336,0.46,CP
305,8,8,0.15,0.0014388979537926143,0.09,0.009269300564484887,0.64,CP
306,7,8,0.15,0.002158346930688922,0.08,0.013903950846727336,0.76,CP
307,8,4,0.1,0.0014388979537926143,0.09,0.009269300564484887,0.94,CP
