sysTime,Action,ChannelUsed,TransJob,CPU,JobFaultProb,RunningJob,ActionQos
150,9,21.264483878511935,21,0.25,0.0,1,0.0
260,9,17.499380512206233,11,0.075,0.0,1,1.997258718923207
390,9,3.6045189914683036,1,0.225,0.0,1,1.9945021689484352
520,9,2.398081733190338e-14,0,0.25,0.0,1,1.9966451040301612
640,9,3.6415315207705135e-14,0,0.075,0.0,1,1.9975554523630838
760,9,3.6415315207705135e-14,0,0.075,0.0,1,1.9945757751144855
890,9,3.9968028886505635e-14,0,0.075,0.0,1,1.9945757751144855
1010,9,3.9968028886505635e-14,0,0.075,0.0,1,1.9945757751144855
1130,2,3.730349362740526e-14,0,0.075,0.0,1,1.9945757751144855
1260,9,4.3520742565306136e-14,0,0.075,0.0,1,1.9945757751144855
1390,9,38.06998330953014,12,0.25,0.0,1,-1.9945757751144855
1510,9,47.713263846101135,24,0.225,1,1,-1.9979255586874363
1630,9,38.82862138649911,27,0.075,1,1,-1.9967605036810798
1770,9,42.02336319442517,33,0.25,1,1,-1.9945757751144855
1880,9,44.869222903011625,35,0.225,1,1,-1.9977513739229065
2010,9,48.94526793644305,44,0.075,1,1,-1.9963799581153756
2140,9,45.7108145658265,47,0.25,1,1,-1.993708071240314
2260,9,47.05086782441234,53,0.25,1,1,-1.9966351355440257
2390,9,45.40239018791817,56,0.25,1,1,-1.9969809907165366
2510,9,49.09258963705617,65,0.25,1,1,-1.99630444737328
2640,9,49.1169584857198,62,0.25,1,1,-1.9968967882691604
2750,9,46.46584366561539,62,0.225,1,1,-1.9963666203493982
2880,9,47.207202550359725,68,0.225,1,1,-1.9939431527703246
3000,9,47.86481432409299,70,0.225,1,1,-1.9946978271107056
3130,9,47.6523002768997,73,0.075,1,1,-1.9945140643762593
3250,9,49.30351591507483,79,0.225,1,1,-1.9898776249407326
3370,9,49.26842369134235,82,0.075,1,1,-1.993221863199862
3500,8,49.27649323230012,85,0.225,1,1,-1.989459672680201
3630,9,49.37617483470584,83,0.25,1,1,-1.993357451891709
3750,9,48.1979015813261,83,0.075,1,1,-1.9953391343983262
3880,9,48.362698877084185,86,0.25,1,1,-1.9881618128017868
4010,9,47.982337137331,89,0.25,1,1,-1.994040371498757
4120,9,48.48090518983799,88,0.225,1,1,-1.9937570528733741
4260,9,48.40652975707665,91,0.25,1,1,-1.992724517454637
4370,9,48.34613669756718,94,0.075,1,1,-1.9928770229321757
4490,9,49.51697592316716,100,0.075,1,1,-1.9865234555577236
4620,9,49.50530440049351,103,0.225,1,1,-1.9868313198229206
4750,9,49.42980027331428,106,0.25,1,1,-1.9911179619916088
4870,9,49.53977961919558,109,0.075,1,1,-1.994069560241849
5000,9,49.560915125879724,112,0.25,1,1,-1.9884247561037802
5130,9,49.56743065705716,115,0.25,1,1,-1.9932120473792876
5250,9,48.805185272424204,106,0.25,1,1,-1.993401089516999
5380,9,48.858164840661516,109,0.25,1,1,-1.9933970645103836
5500,9,48.7085261526019,112,0.25,1,1,-1.9917655838165638
5610,9,48.623919378687184,115,0.225,1,1,-1.991974479927137
5750,1,47.90456080766325,116,0.25,1,1,-1.989888470315284
5870,9,48.593613625943355,114,0.25,1,1,-1.9932642506438079
5990,9,49.658586341413695,120,0.225,1,1,-1.994039588221764
6110,5,49.66445549444325,121,0.225,1,1,-1.9882911024657588
6240,5,49.029020615306436,121,0.225,1,1,-1.9876750150301907
6370,8,49.43647055765719,124,0.25,1,1,-1.9883545862795895
6480,8,48.61344721041733,124,0.075,1,1,-1.9904821514477455
6620,9,49.6371035348637,130,0.25,1,1,-1.9843616723073676
6740,9,49.022924350344624,125,0.25,1,1,-1.9922409259994391
6860,9,48.26280922486487,125,0.225,1,1,-1.9921744215978106
6980,9,48.82991410168122,128,0.075,1,1,-1.985762673331088
7110,9,48.86793980767193,131,0.225,1,1,-1.98175324084389
7230,9,49.04395310235311,134,0.225,1,1,-1.9864904604825837
7370,9,48.33222454371744,134,0.25,1,1,-1.9882893989142294
7490,9,48.72327773488284,137,0.25,1,1,-1.990298152589256
7610,9,48.83816732590595,140,0.25,1,1,-1.9913089260795653
7740,9,49.1305426278849,135,0.25,1,1,-1.9919327055823075
7850,9,48.62379921089839,135,0.225,1,1,-1.9919405308890572
7990,9,48.91110942366147,138,0.25,1,1,-1.9838034782283702
8100,9,49.7027579208744,144,0.075,1,1,-1.9885261586013625
8230,9,49.040476785164245,144,0.075,1,1,-1.9801082438866786
8350,9,49.50775510346913,147,0.225,1,1,-1.9800950055994897
8490,9,48.999591513713824,141,0.25,1,1,-1.9866038897450322
8600,9,49.10288319783872,144,0.225,1,1,-1.9912115046098329
8730,9,49.5349122697133,147,0.25,1,1,-1.9833503151706329
8860,9,49.011235268211195,144,0.25,1,1,-1.9900364433799225
8970,9,49.58151467124542,147,0.075,1,1,-1.990907749048969
9110,9,49.035747630273484,147,0.25,1,1,-1.975364048924341
9230,9,49.524229018593196,150,0.25,1,1,-1.9866347954277814
9360,9,49.65207386305608,153,0.25,1,1,-1.98921629127579
9480,9,49.30295586205468,148,0.25,1,1,-1.9905547440647118
9610,9,49.64817180625142,151,0.25,1,1,-1.9911782653326275
9720,9,49.12080577447295,151,0.075,1,1,-1.9841794029295559
9840,9,48.66672085476117,151,0.075,1,1,-1.9739746477459226
9970,9,49.15124914586473,154,0.225,1,1,-1.9755072798924935
10090,9,48.73750137554765,154,0.225,1,1,-1.9816893356433476
10230,9,49.10421528391775,157,0.25,1,1,-1.9816762833839094
10340,9,48.58185222022388,157,0.225,1,1,-1.9863598756830987
10470,9,49.03112583375828,160,0.225,1,1,-1.983712847237149
10590,9,48.488495757983365,160,0.225,1,1,-1.983729824189524
10720,9,49.00085912377673,163,0.225,1,1,-1.98438164829867
10850,9,49.54295023328586,166,0.25,1,1,-1.9842373211436939
10970,9,48.986417683841054,166,0.25,1,1,-1.9893060716235962
11100,9,49.348101959211704,156,0.25,1,1,-1.9891772758112547
11220,9,48.824523243006574,156,0.25,1,1,-1.9893897218435184
11340,9,49.177224884763355,159,0.075,1,1,-1.9842769463867846
11460,9,48.67085994804268,159,0.225,1,1,-1.9753602055640624
11600,9,49.07502397770486,162,0.25,1,1,-1.98236006713918
11720,9,48.55727604929988,162,0.25,1,1,-1.9885189468684024
11840,9,49.0858857260189,165,0.25,1,1,-1.9889697292416404
11970,9,48.67643293633952,158,0.25,1,1,-1.988731255353796
12080,9,49.170923510680204,161,0.075,1,1,-1.988127661521621
12210,9,48.82187103321012,161,0.075,1,1,-1.969668890785418
12340,9,49.183055876610155,164,0.25,1,1,-1.9713063098316777
12460,9,48.54908525397449,164,0.225,1,1,-1.984176785453452
12590,9,49.26737605470311,162,0.25,1,1,-1.9821488809478818
12720,9,48.825855297563,162,0.25,1,1,-1.9904643450215573
12830,9,49.20373574831444,165,0.075,1,1,-1.9820447268152979
12950,9,48.70976526492913,165,0.225,1,1,-1.9715616468359154
13080,9,49.15901468620806,168,0.225,1,1,-1.9814905685254438
13210,9,48.82118574155039,163,0.25,1,1,-1.9829493304175043
13330,9,49.25025538593925,166,0.225,1,1,-1.9875159511589038
13450,9,48.81976410347321,166,0.225,1,1,-1.9763372644987633
13590,9,49.18150501708429,169,0.25,1,1,-1.97960354781019
13710,9,48.60244142537258,169,0.25,1,1,-1.9868185979063744
13840,4,49.02998341838657,172,0.25,1,1,-1.98774543720612
13960,4,48.69120769188304,166,0.25,1,1,-1.9897319107956686
14070,9,49.18455989146957,169,0.075,1,1,-1.9893801147783097
14200,9,48.78628831561097,169,0.225,1,1,-1.9642522822497808
14330,9,49.259770003364494,172,0.25,1,1,-1.9807258176054985
14460,9,48.79411684951188,172,0.25,1,1,-1.9859017844343825
14570,9,49.18051702555003,175,0.225,1,1,-1.9853338422881022
14710,9,48.626741516952805,175,0.25,1,1,-1.982076831799151
14830,9,49.229263903634354,171,0.25,1,1,-1.9875963784598527
14950,9,48.89995024804414,171,0.225,1,1,-1.989345945834479
15080,9,49.28996896684423,174,0.25,1,1,-1.97782908700434
15200,9,48.88171044356589,174,0.25,1,1,-1.9833412100269334
15330,9,49.38623944440316,173,0.25,1,1,-1.9854498199202921
15440,9,49.020451290074334,173,0.225,1,1,-1.9862013461606272
15570,9,48.65869790622439,173,0.075,1,1,-1.9722550316182739
15690,9,49.2484726589724,176,0.075,1,1,-1.966565955696217
15820,9,48.880947480654,176,0.225,1,1,-1.966241991764642
15940,9,49.30616082553211,179,0.225,1,1,-1.9772959675567179
16070,9,48.935139125902246,179,0.225,1,1,-1.9780232497395038
16190,8,49.30699809818266,182,0.225,1,1,-1.977744716947844
16320,8,48.881424009810274,182,0.25,1,1,-1.9782041737377294
16450,9,49.20983648061362,185,0.25,1,1,-1.9852278734395645
16570,9,48.68661278404108,185,0.25,1,1,-1.9866876035133054
16700,9,49.075605878225815,188,0.25,1,1,-1.987516880964569
16820,9,48.72779851184059,176,0.25,1,1,-1.988830110699667
16940,9,49.27480936845314,179,0.075,1,1,-1.9890400271085105
17060,9,48.93723274397269,179,0.075,1,1,-1.9650652332545444
17190,9,49.33994071261081,182,0.225,1,1,-1.9651033120063326
17310,9,48.94991207983789,182,0.225,1,1,-1.9763216817039664
17440,9,49.311509441027795,185,0.25,1,1,-1.976780484082981
17570,9,48.924231882996445,185,0.25,1,1,-1.9856430510076208
17690,9,49.3311134553482,181,0.25,1,1,-1.985223283409211
17800,9,49.05528160847015,181,0.2,1,1,-1.9855542631443859
17930,9,48.730854601263026,181,0.225,1,1,-1.8756933310310044
18060,9,49.15316092404386,184,0.225,1,1,-1.9716624152367124
18190,9,48.63897993649045,184,0.25,1,1,-1.9754764084493244
18310,9,49.2804109921591,182,0.25,1,1,-1.9877897213953812
18430,9,48.85776391040199,182,0.075,1,1,-1.9886657334497124
18550,9,49.275517282681676,185,0.075,1,1,-1.9620336379748862
18680,9,48.9125537572355,185,0.225,1,1,-1.9704819920993444
18810,9,49.23336732410128,188,0.25,1,1,-1.9789444679123067
18940,9,48.76065139750924,188,0.25,1,1,-1.9847114371775012
19060,9,49.15187761569529,191,0.25,1,1,-1.9871741695510277
19190,9,48.91913228169435,184,0.25,1,1,-1.9878318706579572
19300,9,49.44535799526715,187,0.225,1,1,-1.9880079529186359
19420,9,49.13344541262007,187,0.225,1,1,-1.9669689897662033
19550,9,48.820915107274146,187,0.075,1,1,-1.9671786926036963
19670,9,49.280024745203626,190,0.225,1,1,-1.9615608386153565
19800,9,48.94562740618732,190,0.225,1,1,-1.974651086194019
19930,9,49.29617640147508,193,0.25,1,1,-1.9781833940592506
20060,9,48.85312971748931,193,0.25,1,1,-1.9835657724485067
20180,9,49.176548334284625,196,0.25,1,1,-1.9856873850596886
20310,9,48.87763531759292,187,0.25,1,1,-1.987139956947615
20420,9,49.38045331319832,190,0.075,1,1,-1.9880653193791835
20540,9,49.01126964080017,190,0.225,1,1,-1.9600878376609279
20670,9,48.67780014537145,190,0.225,1,1,-1.9726513430283115
20800,9,49.212430362142904,193,0.25,1,1,-1.9781094899802514
20930,9,48.708595614804025,193,0.25,1,1,-1.9835252936801266
21040,9,49.17617264242548,196,0.075,1,1,-1.985825538732669
21180,9,48.943470990778756,189,0.25,1,1,-1.9745580563760132
21290,9,49.37651893173641,192,0.225,1,1,-1.9870935560313616
21420,9,49.06839608960693,192,0.075,1,1,-1.966963362942999
21540,9,48.64756321478948,192,0.225,1,1,-1.9613995655290926
21660,9,49.20745240390278,195,0.225,1,1,-1.9743293302863587
21800,9,48.97402544662944,190,0.25,1,1,-1.980457885871012
21910,9,49.42902999623481,193,0.075,1,1,-1.9857003767126145
22040,9,49.143930132891946,193,0.075,1,1,-1.9502298349451586
22160,9,48.878415748986214,193,0.075,1,1,-1.9558723829695928
22290,9,49.219753389489135,195,0.225,1,1,-1.9583782251617416
22410,9,48.87093759177411,195,0.225,1,1,-1.9706753814798557
22540,9,49.30863475410019,198,0.225,1,1,-1.9721976705925688
22660,9,48.970773982047206,198,0.225,1,1,-1.9769941514829061
22790,9,49.149856558646576,200,0.25,1,1,-1.9774479506410985
22920,9,48.71977831362295,200,0.25,1,1,-1.983714921046042
23040,9,49.609086227419105,204,0.25,1,1,-1.9857283886346053
23170,9,49.35534508089944,193,0.25,1,1,-1.9868077091385972
23280,9,49.09928483695971,193,0.225,1,1,-1.9876796118394167
23410,9,48.82711248810749,193,0.225,1,1,-1.9694523956438328
23530,9,49.36876171533915,196,0.225,1,1,-1.9697020711092037
23650,9,49.062939317761014,196,0.225,1,1,-1.9713207766911809
23780,9,48.605186490078616,196,0.225,1,1,-1.9723688866112714
23910,9,49.36150262654781,193,0.25,1,1,-1.9741577513642001
24030,9,49.04763862998188,193,0.075,1,1,-1.987494068155254
24150,9,48.71174879842263,193,0.225,1,1,-1.948599616561001
24280,9,49.27550861523777,196,0.225,1,1,-1.974746688268609
24400,9,49.66890978639641,199,0.225,1,1,-1.9762169136944603
24540,9,49.27549782088748,199,0.25,1,1,-1.9766388778207602
24660,9,49.65606924983165,202,0.25,1,1,-1.985735606135569
24780,9,49.25149868836864,202,0.25,1,1,-1.9857505522847723
24910,9,49.65912226317213,205,0.25,1,1,-1.98696863910291
25030,9,49.416559133851266,196,0.25,1,1,-1.9860924364252768
25150,9,49.16921133409802,196,0.075,1,1,-1.986014174625898
