No,Uid,Jid,offloadtime,commutime,runtime,energy,AoI,state
0,0,3,0.1,0.010526101566336928,0.01,0.05063761881744196,0.05,CP
1,6,11,0.25,0.0042104406265347704,0.07,0.020255047526976783,0.05,CP
2,5,15,0.4,0.005263050783168463,0.06,0.025318809408720982,0.05,CP
3,6,14,0.55,0.0037663674831114992,0.07,0.01968308131824761,0.04,CP
4,6,15,0.6,0.0037663674831114992,0.07,0.01968308131824761,0.13,CP
5,6,16,0.8,0.0033221715645980364,0.07,0.01911095697520227,0.08,CP
6,6,17,1.0,0.004654426174298696,0.07,0.020826900912496723,0.02,CP
7,5,22,1.1,0.004152714455747546,0.06,0.02388869621900284,0.06,CP
8,6,20,1.25,0.0042104406265347704,0.07,0.020255047526976783,0.06,CP
9,6,21,1.4,0.0042104406265347704,0.07,0.020255047526976783,0.05,CP
10,5,26,1.55,0.004707959353889373,0.06,0.02460385164780951,0.05,CP
11,6,24,1.7,0.0024331417708313152,0.07,0.017965886600830733,0.04,CP
12,6,27,1.85,0.0033221715645980364,0.07,0.01911095697520227,0.03,CP
13,6,29,2.0,0.004654426174298696,0.07,0.020826900912496723,0.03,CP
14,6,30,2.15,0.0033221715645980364,0.07,0.01911095697520227,0.02,CP
15,5,33,2.2,0.004707959353889373,0.06,0.02460385164780951,0.11,CP
16,5,34,2.4,0.003597244884481535,0.06,0.02317325141121222,0.06,CP
17,5,35,2.55,0.004152714455747546,0.06,0.02388869621900284,0.05,CP
18,5,38,2.7,0.005263050783168463,0.06,0.025318809408720982,0.04,CP
19,5,39,2.75,0.003597244884481535,0.06,0.02317325141121222,0.14,CP
20,6,35,3.0,0.0042104406265347704,0.07,0.020255047526976783,0.03,CP
21,6,37,3.15,0.0050983470312305984,0.07,0.021398670976225016,0.03,CP
22,5,42,3.3,0.004152714455747546,0.06,0.02388869621900284,0.02,CP
23,6,39,3.35,0.001988021580483449,0.07,0.017392571795662684,0.11,CP
24,6,42,3.55,0.0033221715645980364,0.07,0.01911095697520227,0.06,CP
25,6,44,3.7,0.0028777959075852277,0.07,0.018538601128969774,0.05,CP
26,5,48,3.8,0.002485026975604311,0.06,0.021740714744578348,0.09,CP
27,6,47,4.0,0.0037663674831114984,0.07,0.01968308131824761,0.04,CP
28,6,48,4.15,0.0037663674831114984,0.07,0.01968308131824761,0.03,CP
29,6,51,4.3,0.0028777959075852277,0.07,0.018538601128969774,0.03,CP
30,5,53,4.45,0.0030414272135391445,0.06,0.02245735825103842,0.02,CP
31,5,54,4.55,0.003597244884481535,0.06,0.02317325141121222,0.06,CP
32,6,53,4.7,0.0050983470312305984,0.07,0.021398670976225016,0.06,CP
33,6,54,4.85,0.0042104406265347704,0.07,0.020255047526976783,0.05,CP
34,6,56,5.0,0.004654426174298696,0.07,0.020826900912496723,0.04,CP
35,6,58,5.15,0.0033221715645980364,0.07,0.01911095697520227,0.04,CP
36,6,60,5.25,0.0042104406265347704,0.07,0.020255047526976783,0.08,CP
37,6,63,5.45,0.0033221715645980364,0.07,0.01911095697520227,0.02,CP
38,6,64,5.55,0.004654426174298696,0.07,0.020826900912496723,0.07,CP
39,6,65,5.7,0.0024331417708313152,0.07,0.017965886600830733,0.06,CP
