sysTime,Action,ChannelUsed,TransJob,CPU,JobFaultProb,RunningJob,ActionQos
130,1,2.438652644413965,2,0.01875,0.0,1,0.0
260,1,7.105427357601002e-15,0,0.00625,0.0,1,7.925782835283383
380,1,5.329070518200751e-15,0,0.00625,0.0,1,7.993851853929859
510,1,5.329070518200751e-15,0,0.04375,1,1,7.9934129161786425
620,6,-8.881784197001252e-16,0,0.01875,1,1,7.9970344693041895
740,6,-8.881784197001252e-16,0,0.01875,1,1,7.913912836037401
870,6,-8.881784197001252e-16,0,0.01875,1,1,7.913912836037401
990,6,-8.881784197001252e-16,0,0.01875,1,1,7.913912836037401
1120,1,3.552713678800501e-15,0,0.04375,1,1,7.913912836037401
1230,6,-8.881784197001252e-16,0,0.01875,1,1,7.9970344693041895
1360,6,-8.881784197001252e-16,0,0.01875,0.5333333333333333,1,7.913912836037401
1490,6,-8.881784197001252e-16,0,0.00625,1,1,7.913912836037401
1600,6,-8.881784197001252e-16,0,0.01875,1,1,7.9934129161786425
1730,6,-8.881784197001252e-16,0,0.01875,1,1,7.913912836037401
1850,6,-8.881784197001252e-16,0,0.01875,1,1,7.913912836037401
1970,6,-8.881784197001252e-16,0,0.01875,1,1,7.913912836037401
2110,0,1.7763568394002505e-15,0,0.00625,1,1,7.913912836037401
2220,6,-8.881784197001252e-16,0,0.01875,1,1,7.9934129161786425
2340,0,11.11111111111111,5,0.01875,1,1,7.913912836037401
2470,0,33.76771833561958,10,0.04375,1,1,7.913912836037401
2590,0,33.83066041197424,14,0.01875,1,1,7.997232164345706
2720,0,36.567109257868914,17,0.04375,1,1,7.921664497609306
2840,0,40.25856735212577,20,0.04375,1,1,7.997119194553698
2970,0,36.417689437173784,20,0.04375,1,1,7.996865024190772
3090,0,31.00692888238031,20,0.00625,1,1,7.996483798938305
3210,0,27.399755179184663,20,0.04375,1,1,7.990921290575981
3340,0,41.70044285167146,23,0.00625,1,1,7.996409705854598
3460,0,39.077182038439055,24,0.04375,1,1,7.990674662441435
3580,0,35.48399546332222,24,0.04375,1,1,7.99351873187148
3700,0,39.07081218076618,26,0.00625,1,1,7.99640496576953
3830,0,36.085725349181494,26,0.04375,1,1,7.990658884835548
3950,0,38.34383701504126,29,0.00625,1,1,7.99615594893395
4070,0,41.52404545168289,32,0.04375,1,1,7.989830081377986
4200,0,46.48936422752245,38,0.00625,1,1,7.9967528239661645
4320,0,41.65069604862986,38,0.04375,1,1,7.991816863742204
4440,0,44.3003533766286,41,0.04375,1,1,7.995246003652371
