TIMESLOT,Throughout,Failure,Failurerate,User,mecAge,Run,commTotal,commEnergy,reward
10.0,70,1,0.014285714285714285,3,2.81,5540.0,0.1474870402637431,2.813232721321154,275.81029622805727
15.0,105,1,0.009523809523809525,3,4.26,8340.0,0.22302918283785583,4.203627805993873,415.71303618707117
20.0,140,1,0.007142857142857143,3,5.65,11140.0,0.29857132541196857,5.594022890666631,555.6157761460856
25.0,174,1,0.005747126436781609,3,6.98,13860.0,0.3719551210553924,6.9844179753393885,691.5212949634154
30.0,209,1,0.004784688995215311,3,8.43,16660.0,0.44749726362950515,8.374813060012123,831.4240349224312
35.0,244,1,0.004098360655737705,3,9.78,19460.0,0.5230394062036179,9.765208144684792,971.3267748814471
40.0,279,1,0.0035842293906810036,3,21.13,22260.0,0.6337991758625051,11.650075509749776,1111.22045769462
45.0,314,1,0.0031847133757961785,3,127.57,25060.0,1.2257913766578983,18.35633067713873,1250.9904903794593
50.0,348,1,0.0028735632183908046,3,332.39,27780.0,2.383746474043247,25.756183082153385,1386.6176070374609
55.0,383,1,0.0026109660574412533,3,664.34,30580.0,4.105496553089786,32.17391336978305,1526.0981772775224
60.0,418,1,0.0023923444976076554,3,1106.69,33380.0,6.267423009293846,38.01303425560817,1665.4663013822515
65.0,453,1,0.002207505518763797,3,1639.58,36180.0,8.690731052779418,43.60513838293557,1804.7677577885102
70.0,488,1,0.0020491803278688526,3,2255.66,38980.0,11.363098095582279,48.98180622354989,1944.0057355593055
75.0,522,1,0.0019157088122605363,3,2925.34,41700.0,14.124629740242442,53.89979248610229,2079.2232948899195
80.0,557,1,0.0017953321364452424,3,3693.34,44500.0,17.170333647722742,58.55422342081805,2218.3662197397525
85.0,592,1,0.0016891891891891893,3,4497.58,47300.0,20.23407539692806,63.32867523268091,2357.504540585675
90.0,627,1,0.001594896331738437,3,5321.81,50100.0,23.292397449116205,67.6877038411323,2496.644203316598
95.0,662,1,0.0015105740181268882,3,6213.05,52900.0,26.500663354471463,72.18702299921708,2635.7457246900226
100.0,696,1,0.0014367816091954023,3,7061.52,55620.0,29.50120185762589,77.00130372348501,2770.902449569805
105.0,731,1,0.0013679890560875513,3,8005.11,58420.0,32.77696860091697,81.49842641814928,2909.9867947578327
110.0,766,1,0.0013054830287206266,3,8934.35,61220.0,35.98452681027747,86.22476719135108,3049.088502145399
115.0,801,1,0.0012484394506866417,3,9857.34,64020.0,39.127053190128414,90.70375974734382,3188.20673107259
120.0,836,1,0.0011961722488038277,3,10806.02,66820.0,42.337297220882185,95.20316624545957,3327.3077389937184
125.0,870,1,0.0011494252873563218,3,11700.33,69540.0,45.40407039851119,99.62577661272968,3462.447593935047
130.0,905,1,0.0011049723756906078,3,12646.42,72340.0,48.71302242925374,104.29464567078068,3601.523499580709
135.0,940,1,0.0010638297872340426,3,13598.66,75140.0,51.98569977162674,108.74715919894031,3740.6086347092605
140.0,975,1,0.0010256410256410256,3,14521.34,77940.0,55.161022650294846,113.22984628792516,3879.718530716427
