TIMESLOT,Throughout,Failure,Failurerate,User,mecAge,Run,commTotal,commEnergy,reward
10.0,81,1,0.012345679012345678,10,246.41,3350.0,4.181547940821229,71.96232071090597,159.26188007829057
15.0,121,1,0.008264462809917356,10,580.03,5110.0,8.857801969063393,91.05517435731389,238.59620203804448
20.0,161,1,0.006211180124223602,10,1044.63,6790.0,14.90680992419946,108.86652249226542,317.6351012170886
25.0,201,1,0.004975124378109453,10,1590.26,8480.0,21.523593231785544,124.62924606217211,396.6776670231067
30.0,241,1,0.004149377593360996,10,2282.96,10070.0,29.626699481858388,139.7574585704474,475.42452431625594
35.0,282,1,0.0035460992907801418,10,3010.72,11770.0,37.52996596780362,154.42108872035988,556.2511603142219
40.0,322,1,0.003105590062111801,10,3920.58,13300.0,47.41075723910177,168.1336811125875,634.7021630350222
45.0,362,1,0.0027624309392265192,10,4767.18,14950.0,55.81822669459528,183.81889613124508,713.45007197901
50.0,402,1,0.0024875621890547263,10,5707.85,16570.0,64.98350927552785,198.2264337021186,792.0523800734827
55.0,442,1,0.0022624434389140274,10,6694.29,18210.0,74.39058748239826,211.01254926322807,870.6615882600532
60.0,483,1,0.002070393374741201,10,7672.76,19880.0,83.58697805131023,226.64026013417958,951.2784472836111
65.0,523,1,0.0019120458891013384,10,8664.43,21490.0,93.01566579251802,241.5056626167016,1029.841742132444
70.0,563,1,0.0017761989342806395,10,9635.49,23140.0,102.06796146920064,255.32761010790077,1108.5073369171816
75.0,603,1,0.001658374792703151,10,10698.83,24720.0,112.06127468223838,268.4314487177258,1186.9595255107456
80.0,643,1,0.0015552099533437014,10,11769.93,26300.0,122.092831307078,281.2504698131831,1265.4105520434236
85.0,683,1,0.0014641288433382138,10,12734.62,27950.0,131.0176030544527,295.8837663958216,1344.0740002665839
90.0,724,1,0.0013812154696132596,10,13903.37,29570.0,141.71994835278926,309.7626456135136,1424.4167859562278
95.0,764,1,0.0013089005235602095,10,14956.59,31230.0,151.24828644968568,323.5244770792912,1502.9867137903627
100.0,804,1,0.0012437810945273632,10,16051.54,32790.0,161.307992457733,337.0850239991328,1581.4353252564915
105.0,844,1,0.001184834123222749,10,17091.86,34420.0,170.74234536298982,351.8289750007825,1659.9986577024958
110.0,884,1,0.0011312217194570137,10,18250.11,35990.0,181.15134149329344,363.8297083962128,1738.3777263671973
115.0,925,1,0.001081081081081081,10,19327.91,37650.0,191.02148384100207,378.61667499701986,1818.8997128405902
120.0,965,1,0.0010362694300518134,10,20328.91,39320.0,199.95484804932926,392.05346298429595,1897.562623920098
125.0,1005,1,0.0009950248756218905,10,21486.91,40860.0,210.47273914068668,405.2644959422019,1975.9191154569517
130.0,1045,1,0.0009569377990430622,10,22422.02,42540.0,219.09808864778864,418.8446173931335,2054.64793464492
135.0,1085,1,0.0009216589861751152,10,23588.8,44110.0,229.58205556483952,432.4713127701301,2132.997782091533
140.0,1126,1,0.0008880994671403197,10,24769.66,45680.0,240.38738074297092,444.65072879592117,2213.3006997569805
