TIMESLOT,Throughout,Failure,Failurerate,User,mecAge,Run,commTotal,commEnergy,reward
10.0,95,1,0.010526315789473684,10,128.48,5920.0,1.360000744177955,25.92080645699651,561.7390452317956
15.0,142,1,0.007042253521126761,10,331.54,9020.0,3.3382400947577677,37.17320081814403,841.6682026525411
20.0,189,1,0.005291005291005291,10,648.95,12060.0,6.2074834199063345,47.9581611164226,1120.7147751906268
25.0,236,1,0.00423728813559322,10,1014.55,15220.0,9.489074306372377,57.53374477048493,1399.7148635429319
30.0,283,1,0.0035335689045936395,10,1479.69,18300.0,13.460593101307149,66.9815247157978,1677.8422163897387
35.0,331,1,0.0030211480362537764,10,2042.4,21260.0,18.071713081921597,78.3793830677378,1961.2194094928786
40.0,378,1,0.0026455026455026454,10,2604.65,24280.0,22.724293267433993,89.0345342926571,2238.7220884585486
45.0,425,1,0.002352941176470588,10,3230.44,27300.0,27.73832291747807,98.78208654260509,2515.7301730673043
50.0,472,1,0.00211864406779661,10,3882.76,30220.0,33.16288906551216,108.31117925854993,2792.4964110128067
55.0,519,1,0.0019267822736030828,10,4772.67,33020.0,40.15848799720116,117.88055243900223,3067.4571836913024
60.0,566,1,0.0017667844522968198,10,5470.72,36040.0,45.55009909345738,126.86887582732012,3344.2530845409246
65.0,613,1,0.0016313213703099511,10,6201.87,38960.0,51.23654387614616,134.4632241223951,3620.5648824325413
70.0,661,1,0.0015128593040847202,10,6951.37,41980.0,57.05310353445855,143.6835547657388,3902.748563565677
75.0,708,1,0.0014124293785310734,10,7924.07,44760.0,64.47936155268057,152.43298966124416,4177.105016272988
80.0,755,1,0.0013245033112582781,10,8706.78,47700.0,70.20439703440046,162.45288999304634,4453.280588020566
85.0,802,1,0.0012468827930174563,10,9569.72,50580.0,76.6256705058612,172.66076240776152,4728.709466505331
90.0,849,1,0.001177856301531213,10,10510.17,53340.0,83.6192970685744,179.98865768184285,5003.437318925282
95.0,896,1,0.0011160714285714285,10,11313.44,56280.0,89.47956775071884,192.37404163677644,5279.596233427663
100.0,944,1,0.001059322033898305,10,12202.6,59260.0,96.14147474035448,200.44136845459124,5560.998105265655
105.0,991,1,0.0010090817356205853,10,12963.79,62220.0,101.91849042249378,209.43359677112386,5837.5115363932655
110.0,1038,1,0.0009633911368015414,10,13741.02,65160.0,107.77040189326594,219.96526004053243,6113.631279210754
115.0,1085,1,0.0009216589861751152,10,14700.89,67960.0,114.89830516737103,227.00555894276317,6388.308271161444
120.0,1132,1,0.0008833922261484099,10,15538.61,70860.0,121.10522484280746,236.67836324990344,6664.197104475728
125.0,1179,1,0.0008481764206955047,10,16312.57,73880.0,126.83658384340254,244.8438709864505,6940.659017227205
130.0,1227,1,0.0008149959250203749,10,17208.52,76840.0,133.54584664293967,252.42789329154922,7221.758624809442
135.0,1274,1,0.0007849293563579278,10,18121.55,79660.0,140.35705102194083,260.998820557683,7496.715091862646
140.0,1321,1,0.000757002271006813,10,19009.12,82520.0,146.89203476283504,267.97571018677957,7772.057481882624
