sysTime,Action,ChannelUsed,TransJob,CPU,JobFaultProb,RunningJob,ActionQos
170,9,25.2806203141915,26,0.0875,0.0,1,0.0
300,9,7.689641397471606,5,0.1,0.0,1,3.9983473408924026
440,4,1.7763568394002505e-14,0,0.1125,0.0,1,3.9929548887758637
580,8,1.7763568394002505e-14,0,0.1125,0.0,1,3.9690917616229537
720,8,1.7763568394002505e-14,0,0.1125,0.0,1,3.9669015696521748
870,8,1.7763568394002505e-14,0,0.1125,0.0,1,3.9669015696521748
1020,9,1.7763568394002505e-14,0,0.1,0.0,1,3.9669015696521748
1150,8,1.7763568394002505e-14,0,0.1125,0.0,1,3.993829054850769
1300,8,1.7763568394002505e-14,0,0.1125,0.4,1,3.9669015696521748
1440,8,1.7763568394002505e-14,0,0.1125,0.4,1,3.9669015696521748
1590,8,1.7763568394002505e-14,0,0.1125,0.4,1,3.9669015696521748
1730,8,1.7763568394002505e-14,0,0.1125,0.4,1,3.9669015696521748
1870,9,11.111111111111125,4,0.1125,0.8,1,3.9669015696521748
2030,9,38.214496058828736,14,0.1,1,1,-3.9669015696521748
2160,9,36.57718503140683,22,0.1125,1,1,-3.994239986400412
2310,1,45.926349937715464,32,0.1,1,1,-3.9669015696521748
2450,9,43.43401151033063,36,0.1125,1,1,-3.9940051580180214
2600,9,45.582684138081156,35,0.1,1,1,-3.9650261851915283
2730,9,46.566858503727055,39,0.1125,1,1,-3.9926847626851987
2890,9,45.619397748495444,44,0.1,1,1,-3.9545100997871585
3030,9,44.66042419535694,48,0.1,1,1,-3.989717062830942
3170,9,46.54838288558401,54,0.1125,1,1,-3.9915765982902904
3320,9,46.26296154179702,58,0.1,1,1,-3.957184449900725
3460,9,47.07315673392196,62,0.1,1,1,-3.990472856479579
3610,9,48.57904766420669,61,0.1,1,1,-3.9905814706042655
3740,9,47.62246504465908,63,0.1125,1,1,-3.988810194247183
3890,9,48.907465904479714,69,0.1,1,1,-3.945721920979802
4040,9,49.18068708301557,73,0.1,1,1,-3.987228260429769
4180,9,48.042649182289054,69,0.1,1,1,-3.9881821846827936
4330,9,47.093241272097316,71,0.1,1,1,-3.9849947934560292
4460,9,47.953386815824054,75,0.1125,1,1,-3.9830558414670487
4610,9,47.93339534307598,78,0.1,1,1,-3.9378592547018707
4760,9,47.30165043981942,80,0.1,1,1,-3.9857762065209945
4900,9,47.759935828380726,79,0.1,1,1,-3.985698564284384
5030,9,48.12060917682152,81,0.1125,1,1,-3.9873769959314815
5190,9,47.70560663643859,83,0.1,1,1,-3.931051649796729
5320,9,48.57404746058006,87,0.1125,1,1,-3.9796155372567488
5470,9,48.22186281705571,89,0.1,1,1,-3.923931746396132
5620,9,48.05917776944165,91,0.1,1,1,-3.9810227708542225
5760,9,49.062992380402854,95,0.1,1,1,-3.983122185923787
5910,9,48.286992120901864,88,0.1,1,1,-3.9831859072381226
6050,9,47.912953044490386,90,0.1,1,1,-3.984090476640572
6180,9,48.09680915330305,92,0.1125,1,1,-3.977479054756518
6340,9,49.150410288721346,96,0.1,1,1,-3.9190143952761662
6480,9,47.98640989946986,92,0.1,1,1,-3.9810640033954483
6610,9,48.50156735350001,94,0.1125,1,1,-3.9822436626494073
6770,9,48.5711096023838,96,0.1,1,1,-3.9115656982592957
6910,9,48.54553702941925,98,0.1,1,1,-3.9724817824928627
7050,9,49.48790106245782,98,0.1,1,1,-3.9771789506752158
7200,9,48.58264549306126,98,0.1,1,1,-3.978406474596238
7330,9,48.71564749885406,100,0.1125,1,1,-3.9681491154249113
7490,9,48.78019855482335,102,0.1,1,1,-3.894222185969953
7630,9,49.111211838007605,105,0.1,1,1,-3.974229363675808
7760,9,49.17435211646224,107,0.1125,1,1,-3.9740556835716223
7920,9,48.27490226306871,107,0.1,1,1,-3.9127254666550964
8060,9,48.251664147604124,102,0.1,1,1,-3.9809676233642666
8190,9,48.2494946763786,104,0.1125,1,1,-3.979883161084547
8340,9,49.41983649883394,108,0.1125,1,1,-3.9002747716924135
8490,9,48.90848581521676,108,0.1,1,1,-3.8996726433756828
8640,9,48.9612472573996,110,0.1,1,1,-3.969242825891921
8780,9,48.923847426661496,112,0.1,1,1,-3.9684395887949506
8920,9,49.484224698968795,116,0.1,1,1,-3.970460397874234
9070,9,48.79535647999412,116,0.1,1,1,-3.972883057566884
9210,9,49.03227441977224,110,0.1,1,1,-3.9750736675350713
9350,9,48.201821429060466,110,0.1,1,1,-3.9752660692151838
9490,9,49.40998596570667,114,0.1125,1,1,-3.9636117577464387
9640,9,48.757535693136354,114,0.1,1,1,-3.887238084471488
9780,9,48.70110558418751,116,0.1,1,1,-3.96929019401448
9930,9,48.65791580511842,118,0.1,1,1,-3.9741668892774364
10070,9,49.42256107596014,122,0.1,1,1,-3.976791966136253
10220,9,48.66386914214247,115,0.1,1,1,-3.9772226549024245
10350,9,49.013361064550764,117,0.1,1,1,-3.975655367902543
