TIMESLOT,Throughout,Failure,Failurerate,User,mecAge,Run,commTotal,commEnergy,reward
10.0,95,1,0.010526315789473684,3,3.73,8470.0,0.13453695867960958,1.9372838179773382,563.6537269585796
15.0,142,1,0.007042253521126761,3,5.65,12700.0,0.20216516250786198,2.864213874425842,845.4795717277797
20.0,189,1,0.005291005291005291,3,7.51,16930.0,0.26979336633611445,3.791143930874347,1127.3054164969797
25.0,236,1,0.00423728813559322,3,9.4,21160.0,0.33742157016436686,4.718073987322851,1409.1312612661798
30.0,283,1,0.0035335689045936395,3,11.32,25390.0,0.40504977399261927,5.6450040437713565,1690.9571060353799
35.0,330,1,0.0030303030303030303,3,13.16,29620.0,0.47267797782087173,6.5719341002198615,1972.78295080458
40.0,378,1,0.0026455026455026454,3,15.08,33940.0,0.541745079602918,7.4988641566683665,2260.6050901433373
45.0,425,1,0.002352941176470588,3,16.98,38170.0,0.609373283431173,8.425794213116871,2542.4309349125374
50.0,472,1,0.00211864406779661,3,47.53,42400.0,0.7753730545929612,10.002574916060937,2824.2061810688656
55.0,519,1,0.0019267822736030828,3,195.34,46630.0,1.4262003051217331,14.478499995835346,3105.7322762565364
60.0,566,1,0.0017667844522968198,3,450.88,50860.0,2.605564471723908,19.930901814222523,3386.9872414452498
65.0,613,1,0.0016313213703099511,3,861.81,55090.0,4.305427504858164,24.59678313066904,3667.9757346641168
70.0,661,1,0.0015128593040847202,3,1361.61,59410.0,6.29137117686061,29.098612531964356,3954.8149491222507
75.0,708,1,0.0014124293785310734,3,1970.87,63640.0,8.524373172359155,33.33266445085636,4235.531035882089
80.0,755,1,0.0013245033112582781,3,2665.22,67870.0,10.977175383880423,37.2865669584437,4516.135004618755
85.0,802,1,0.0012468827930174563,3,3383.46,72100.0,13.387549129964853,41.430797319735575,4796.760610246058
90.0,849,1,0.001177856301531213,3,4169.05,76330.0,15.938685530959448,45.378634174426395,5077.314401981075
95.0,896,1,0.0011160714285714285,3,4972.09,80560.0,18.549304044572484,49.382649786239014,5357.837851454405
100.0,943,1,0.0010604453870625664,3,5810.32,84790.0,21.208075645469034,53.35079788345262,5638.336819097689
105.0,991,1,0.0010090817356205853,3,6656.72,89110.0,23.87087532040763,57.21731047872234,5924.830599181408
110.0,1038,1,0.0009633911368015414,3,7525.24,93340.0,26.597851815013218,61.146622414288835,6205.294776372963
115.0,1085,1,0.0009216589861751152,3,8389.59,97570.0,29.317630541871633,65.00690322109875,6485.762617977382
120.0,1132,1,0.0008833922261484099,3,9219.03,101800.0,31.896739188950942,68.80697678607613,6766.302170614562
125.0,1179,1,0.0008481764206955047,3,10144.25,106030.0,34.74840786315057,72.74640495366721,7046.702802458105
130.0,1226,1,0.0008156606851549756,3,11013.38,110260.0,37.42064002617891,76.48236976474712,7327.194865786171
135.0,1274,1,0.0007849293563579278,3,11889.39,114580.0,40.09299795668778,80.56417401959447,7613.683792565072
140.0,1321,1,0.000757002271006813,3,12799.29,118810.0,42.87216313783992,84.37603500058275,7894.121345671745
