No,Uid,Jid,offloadtime,commutime,runtime,energy,AoI,state
0,4,34,0.12,0.009367270426581571,0.05,0.03431304430943706,0.03,CP
1,2,75,0.24,0.009070957591881965,0.03,0.04134739337834398,0.02,CP
2,3,115,0.37,0.005938921500759851,0.04,0.033605330892978694,0.02,CP
3,4,76,0.49,0.006480000000000005,0.05,0.03059424000000001,0.03,CP
4,2,114,0.62,0.008640000000000005,0.03,0.04079232000000001,0.02,CP
5,2,125,0.74,0.008640000000000005,0.03,0.04079232000000001,0.02,CP
6,2,138,0.87,0.008640000000000005,0.03,0.04079232000000001,0.02,CP
7,2,150,0.99,0.008640000000000005,0.03,0.04079232000000001,0.02,CP
8,2,160,1.11,0.008640000000000005,0.03,0.04079232000000001,0.02,CP
9,2,171,1.24,0.008640000000000007,0.03,0.04079232000000001,0.02,CP
10,4,158,1.32,0.002880000000000002,0.05,0.025957440000000002,0.07,CP
11,3,211,1.32,0.005040000000000005,0.04,0.032447520000000014,0.19,CP
12,2,178,1.32,0.008640000000000007,0.03,0.04079232000000001,0.31,CP
13,4,159,1.33,0.0045741176470588275,0.05,0.028139463529411775,0.44,CP
14,3,212,1.33,0.008004705882352947,0.04,0.03626606117647059,0.55,CP
15,2,179,1.33,0.013722352941176484,0.03,0.047338390588235316,0.68,CP
16,4,160,1.34,0.015437647058823546,0.05,0.042131689411764726,0.8,CP
17,4,162,1.42,0.012070393842368427,0.05,0.03779466726897054,0.84,CP
18,4,165,1.51,0.018658325139050465,0.05,0.046279922779096996,0.88,CP
19,4,167,1.65,0.012890083219091008,0.05,0.03885042718618922,0.86,CP
20,4,169,1.79,0.018052721154278858,0.05,0.045499904846711174,0.85,CP
21,3,213,1.34,0.02701588235294122,0.04,0.0607524564705883,1.41,CP
22,3,215,1.42,0.021123189224144755,0.04,0.05316266772069845,1.46,CP
23,3,220,1.65,0.02255764563340926,0.04,0.05501024757583113,1.35,CP
24,2,182,1.42,0.03621118152710528,0.03,0.0763040018069116,1.71,CP
25,3,218,1.51,0.0326520689933383,0.04,0.06801186486341973,1.74,CP
26,2,187,1.65,0.038670249657273004,0.03,0.07947128155856763,1.72,CP
27,3,222,1.79,0.031592262019988,0.04,0.06664683348174455,1.71,CP
28,4,171,1.93,0.028065923987328167,0.05,0.058396910095678684,1.7,CP
29,2,180,1.34,0.04631294117647063,0.03,0.08931506823529417,2.41,CP
30,4,163,1.43,0.04073757921799341,0.05,0.07471800203277551,2.45,CP
31,4,168,1.66,0.04350403086443216,0.05,0.07828119175338862,2.35,CP
32,3,231,2.42,0.036540725913391185,0.04,0.07302045497644785,1.7,CP
33,4,161,1.35,0.0521020588235295,0.05,0.089355451764706,2.91,CP
34,2,185,1.51,0.05597497541715133,0.03,0.10175976833729092,2.86,CP
35,2,189,1.79,0.054158163462836605,0.03,0.09941971454013356,2.7,CP
36,3,224,1.93,0.04911536697782432,0.04,0.08921659266743773,2.69,CP
37,4,173,2.01,0.04045261174935644,0.05,0.0743509639331711,2.74,CP
38,2,195,2.15,0.04476374429285951,0.03,0.08731970264920305,2.72,CP
39,4,177,2.29,0.04882792341150526,0.05,0.08513836535401878,2.71,CP
40,4,178,2.42,0.04698093331721727,0.05,0.08275944211257584,2.71,CP
41,4,180,2.5,0.047020255012569144,0.05,0.08281008845618906,2.75,CP
42,4,166,1.52,0.06297184734429519,0.05,0.10335573937945221,3.86,CP
43,4,170,1.8,0.060927933895691185,0.05,0.10072317885765025,3.7,CP
44,3,228,2.15,0.05875241438437811,0.04,0.101629109727079,3.46,CP
45,4,181,2.63,0.04831784913469854,0.05,0.08448138968549172,3.12,CP
46,4,182,2.76,0.040745226406367824,0.05,0.07472785161140176,3.11,CP
47,3,216,1.43,0.07129076363148854,0.04,0.11777850355735722,4.56,CP
48,3,221,1.66,0.07613205401275636,0.04,0.12401408556843019,4.45,CP
49,3,226,2.01,0.0707920705613737,0.04,0.11713618688304933,4.23,CP
50,4,175,2.15,0.07553881849420041,0.05,0.11954199822053012,4.22,CP
51,2,204,2.9,0.06874827246234073,0.03,0.11821177493149487,3.58,CP
52,4,189,3.37,0.05832155328396908,0.05,0.09736616062975217,3.25,CP
53,4,190,3.5,0.05897203533051824,0.05,0.09820398150570749,3.24,CP
54,3,214,1.35,0.09117860294117651,0.04,0.14339404058823535,5.51,CP
55,2,191,1.93,0.08419777196198447,0.03,0.138110730287036,5.05,CP
56,3,230,2.29,0.08544886597013411,0.04,0.13601413936953272,4.82,CP
57,3,235,2.76,0.07130414621114375,0.04,0.11779574031995316,4.47,CP
58,4,184,2.9,0.07734180652013334,0.05,0.12186424679793174,4.47,CP
59,4,186,3.04,0.06744144156869632,0.05,0.10911257674048086,4.45,CP
60,4,187,3.17,0.061336634571749295,0.05,0.10124958532841309,4.44,CP
61,4,188,3.24,0.06126007412107746,0.05,0.10115097546794777,4.5,CP
62,3,223,1.8,0.1066238843174594,0.04,0.1632875630008877,6.05,CP
63,4,172,1.94,0.09472249345723237,0.05,0.1442505715729153,6.05,CP
64,2,198,2.42,0.09396186663443465,0.03,0.15068688422515183,5.68,CP
65,2,200,2.5,0.09404051002513839,0.03,0.15078817691237825,5.73,CP
66,3,234,2.63,0.08455623598572255,0.04,0.13486443194961067,5.72,CP
67,4,191,3.63,0.06839523161356828,0.05,0.11034105831827594,4.86,CP
68,3,219,1.52,0.11020073285251657,0.04,0.16789454391404132,7.08,CP
69,4,192,3.76,0.07990684554618525,0.05,0.12516801706348663,4.97,CP
70,4,194,4.02,0.07136970336536519,0.05,0.11417217793459036,4.84,CP
71,2,183,1.43,0.12221273765398052,0.03,0.18707400609832692,7.54,CP
72,4,176,2.16,0.11330822774130084,0.05,0.16818899733079548,6.95,CP
73,4,193,3.89,0.08794961292370898,0.05,0.13552710144573715,5.34,CP
74,4,200,4.74,0.07482758175747609,0.05,0.1186259253036292,4.62,CP
75,4,208,5.78,0.06872067704308665,0.05,0.11076023203149561,3.7,CP
76,4,164,1.44,0.13748932986072843,0.05,0.1993342568606182,8.17,CP
77,2,188,1.66,0.13051209259329685,0.03,0.19776357526016636,8.06,CP
78,2,193,2.01,0.12135783524806938,0.03,0.18597289179951337,7.83,CP
79,3,232,2.43,0.12332494995769547,0.04,0.18479853554551176,7.54,CP
80,4,34,0.12,0.009367270426581571,0.05,0.03431304430943706,0.03,CP
81,2,75,0.24,0.009070957591881965,0.03,0.04134739337834398,0.02,CP
82,3,115,0.37,0.005938921500759851,0.04,0.033605330892978694,0.02,CP
83,4,76,0.49,0.006480000000000005,0.05,0.03059424000000001,0.03,CP
84,2,114,0.62,0.008640000000000005,0.03,0.04079232000000001,0.02,CP
85,2,125,0.74,0.008640000000000005,0.03,0.04079232000000001,0.02,CP
86,2,138,0.87,0.008640000000000005,0.03,0.04079232000000001,0.02,CP
87,2,150,0.99,0.008640000000000005,0.03,0.04079232000000001,0.02,CP
88,2,160,1.11,0.008640000000000005,0.03,0.04079232000000001,0.02,CP
89,2,171,1.24,0.008640000000000007,0.03,0.04079232000000001,0.02,CP
90,4,158,1.32,0.002880000000000002,0.05,0.025957440000000002,0.07,CP
91,3,211,1.32,0.005040000000000005,0.04,0.032447520000000014,0.19,CP
92,2,178,1.32,0.008640000000000007,0.03,0.04079232000000001,0.31,CP
93,4,159,1.33,0.0045741176470588275,0.05,0.028139463529411775,0.44,CP
94,3,212,1.33,0.008004705882352947,0.04,0.03626606117647059,0.55,CP
95,2,179,1.33,0.013722352941176484,0.03,0.047338390588235316,0.68,CP
96,4,160,1.34,0.015437647058823546,0.05,0.042131689411764726,0.8,CP
97,4,162,1.42,0.012070393842368427,0.05,0.03779466726897054,0.84,CP
98,4,165,1.51,0.018658325139050465,0.05,0.046279922779096996,0.88,CP
99,4,167,1.65,0.012890083219091008,0.05,0.03885042718618922,0.86,CP
100,4,169,1.79,0.018052721154278858,0.05,0.045499904846711174,0.85,CP
101,3,213,1.34,0.02701588235294122,0.04,0.0607524564705883,1.41,CP
102,3,215,1.42,0.021123189224144755,0.04,0.05316266772069845,1.46,CP
103,3,220,1.65,0.02255764563340926,0.04,0.05501024757583113,1.35,CP
104,2,182,1.42,0.03621118152710528,0.03,0.0763040018069116,1.71,CP
105,3,218,1.51,0.0326520689933383,0.04,0.06801186486341973,1.74,CP
106,2,187,1.65,0.038670249657273004,0.03,0.07947128155856763,1.72,CP
107,3,222,1.79,0.031592262019988,0.04,0.06664683348174455,1.71,CP
108,4,171,1.93,0.028065923987328167,0.05,0.058396910095678684,1.7,CP
109,2,180,1.34,0.04631294117647063,0.03,0.08931506823529417,2.41,CP
110,4,163,1.43,0.04073757921799341,0.05,0.07471800203277551,2.45,CP
111,4,168,1.66,0.04350403086443216,0.05,0.07828119175338862,2.35,CP
112,3,231,2.42,0.036540725913391185,0.04,0.07302045497644785,1.7,CP
113,4,161,1.35,0.0521020588235295,0.05,0.089355451764706,2.91,CP
114,2,185,1.51,0.05597497541715133,0.03,0.10175976833729092,2.86,CP
115,2,189,1.79,0.054158163462836605,0.03,0.09941971454013356,2.7,CP
116,3,224,1.93,0.04911536697782432,0.04,0.08921659266743773,2.69,CP
117,4,173,2.01,0.04045261174935644,0.05,0.0743509639331711,2.74,CP
118,2,195,2.15,0.04476374429285951,0.03,0.08731970264920305,2.72,CP
119,4,177,2.29,0.04882792341150526,0.05,0.08513836535401878,2.71,CP
120,4,178,2.42,0.04698093331721727,0.05,0.08275944211257584,2.71,CP
121,4,180,2.5,0.047020255012569144,0.05,0.08281008845618906,2.75,CP
122,4,166,1.52,0.06297184734429519,0.05,0.10335573937945221,3.86,CP
123,4,170,1.8,0.060927933895691185,0.05,0.10072317885765025,3.7,CP
124,3,228,2.15,0.05875241438437811,0.04,0.101629109727079,3.46,CP
125,4,181,2.63,0.04831784913469854,0.05,0.08448138968549172,3.12,CP
126,4,182,2.76,0.040745226406367824,0.05,0.07472785161140176,3.11,CP
127,3,216,1.43,0.07129076363148854,0.04,0.11777850355735722,4.56,CP
128,3,221,1.66,0.07613205401275636,0.04,0.12401408556843019,4.45,CP
129,3,226,2.01,0.0707920705613737,0.04,0.11713618688304933,4.23,CP
130,4,175,2.15,0.07553881849420041,0.05,0.11954199822053012,4.22,CP
131,2,204,2.9,0.06874827246234073,0.03,0.11821177493149487,3.58,CP
132,4,189,3.37,0.05832155328396908,0.05,0.09736616062975217,3.25,CP
133,4,190,3.5,0.05897203533051824,0.05,0.09820398150570749,3.24,CP
134,3,214,1.35,0.09117860294117651,0.04,0.14339404058823535,5.51,CP
135,2,191,1.93,0.08419777196198447,0.03,0.138110730287036,5.05,CP
136,3,230,2.29,0.08544886597013411,0.04,0.13601413936953272,4.82,CP
137,3,235,2.76,0.07130414621114375,0.04,0.11779574031995316,4.47,CP
138,4,184,2.9,0.07734180652013334,0.05,0.12186424679793174,4.47,CP
139,4,186,3.04,0.06744144156869632,0.05,0.10911257674048086,4.45,CP
140,4,187,3.17,0.061336634571749295,0.05,0.10124958532841309,4.44,CP
141,4,188,3.24,0.06126007412107746,0.05,0.10115097546794777,4.5,CP
142,3,223,1.8,0.1066238843174594,0.04,0.1632875630008877,6.05,CP
143,4,172,1.94,0.09472249345723237,0.05,0.1442505715729153,6.05,CP
144,2,198,2.42,0.09396186663443465,0.03,0.15068688422515183,5.68,CP
145,2,200,2.5,0.09404051002513839,0.03,0.15078817691237825,5.73,CP
146,3,234,2.63,0.08455623598572255,0.04,0.13486443194961067,5.72,CP
147,4,191,3.63,0.06839523161356828,0.05,0.11034105831827594,4.86,CP
148,3,219,1.52,0.11020073285251657,0.04,0.16789454391404132,7.08,CP
149,4,192,3.76,0.07990684554618525,0.05,0.12516801706348663,4.97,CP
150,4,194,4.02,0.07136970336536519,0.05,0.11417217793459036,4.84,CP
151,2,183,1.43,0.12221273765398052,0.03,0.18707400609832692,7.54,CP
152,4,176,2.16,0.11330822774130084,0.05,0.16818899733079548,6.95,CP
153,4,193,3.89,0.08794961292370898,0.05,0.13552710144573715,5.34,CP
154,4,200,4.74,0.07482758175747609,0.05,0.1186259253036292,4.62,CP
155,4,208,5.78,0.06872067704308665,0.05,0.11076023203149561,3.7,CP
156,4,164,1.44,0.13748932986072843,0.05,0.1993342568606182,8.17,CP
157,2,188,1.66,0.13051209259329685,0.03,0.19776357526016636,8.06,CP
158,2,193,2.01,0.12135783524806938,0.03,0.18597289179951337,7.83,CP
159,3,232,2.43,0.12332494995769547,0.04,0.18479853554551176,7.54,CP
160,3,233,2.5,0.12342816940799413,0.04,0.18493148219749644,7.59,CP
161,4,185,2.91,0.11601270978020001,0.05,0.17167237019689763,7.32,CP
162,3,239,3.17,0.10733911050056141,0.04,0.16420877432472308,7.17,CP
163,3,240,3.24,0.10720512971188573,0.04,0.16403620706890884,7.23,CP
164,3,241,3.37,0.10206271824694604,0.04,0.15741278110206652,7.22,CP
165,3,242,3.5,0.10320106182840691,0.04,0.1588789676349881,7.22,CP
166,4,197,4.41,0.0870688646323897,0.05,0.13439269764651793,6.44,CP
167,4,198,4.48,0.08833238075093308,0.05,0.13602010640720183,6.49,CP
168,4,199,4.61,0.08624832464495562,0.05,0.13333584214270283,6.49,CP
169,4,174,2.02,0.13652756465407773,0.05,0.1980955032744521,9.2,CP
170,2,202,2.76,0.12223567921910358,0.03,0.1871035548342054,8.58,CP
171,3,238,3.04,0.11802252274521857,0.04,0.17796900929584153,8.42,CP
172,4,195,4.15,0.09479329337228305,0.05,0.14434176186350056,7.45,CP
173,4,196,4.28,0.09036880396073173,0.05,0.13864301950142247,7.44,CP
174,4,201,4.87,0.09270920725433529,0.05,0.14165745894358384,6.97,CP
175,4,203,5.13,0.09863543813900078,0.05,0.149290444323033,6.84,CP
176,2,181,1.35,0.15630617647058861,0.03,0.23098635529411812,10.73,CP
177,2,197,2.29,0.14648377023451534,0.03,0.21833509606205576,9.92,CP
178,4,183,2.77,0.13751513912149185,0.05,0.1993674991884815,9.57,CP
179,3,243,3.63,0.11969165532374451,0.04,0.18011885205698294,8.83,CP
180,4,212,6.36,0.07571328747134258,0.05,0.11976671426308926,6.23,CP
181,4,179,2.43,0.15856064994560806,0.05,0.2264741171299432,10.29,CP
182,2,201,2.63,0.14495354740409577,0.03,0.21636416905647535,10.2,CP
183,3,246,4.02,0.12489698088938885,0.04,0.18682331138553285,8.93,CP
184,3,254,5.0,0.11336709759704022,0.04,0.17197282170498782,8.08,CP
185,4,207,5.65,0.10464503152629262,0.05,0.1570308006058649,7.56,CP
186,3,225,1.94,0.16576436355015708,0.04,0.23946050025260235,11.39,CP
187,3,244,3.76,0.13983697970582418,0.04,0.20606602986110156,9.69,CP
188,4,206,5.52,0.11150051570158621,0.05,0.16586066422364307,8.07,CP
189,4,209,5.91,0.10239007050718207,0.05,0.15412641081325051,7.8,CP
190,4,215,6.87,0.08289245030603994,0.05,0.12901347599417945,6.97,CP
191,4,218,7.38,0.08634255856059486,0.05,0.1334572154260462,6.58,CP
192,2,186,1.52,0.188915542032886,0.03,0.2729872181383572,12.55,CP
193,3,252,4.74,0.13094826807558316,0.04,0.19461736928135112,9.46,CP
194,4,204,5.26,0.1205207775536605,0.05,0.17747876148911473,9.07,CP
195,4,205,5.39,0.12611277452992917,0.05,0.18468125359454876,9.07,CP
196,3,259,5.78,0.12026118482540145,0.04,0.18085240605511707,8.79,CP
197,4,213,6.49,0.10385468269357517,0.05,0.1560128313093248,8.22,CP
198,4,224,8.34,0.08667772275012489,0.05,0.13388890690216088,6.49,CP
199,3,245,3.89,0.1539118226164907,0.04,0.22419442753004,11.06,CP
200,4,34,0.12,0.009367270426581571,0.05,0.03431304430943706,0.03,CP
201,2,75,0.24,0.009070957591881965,0.03,0.04134739337834398,0.02,CP
202,3,115,0.37,0.005938921500759851,0.04,0.033605330892978694,0.02,CP
