sysTime,Action,ChannelUsed,TransJob,CPU,JobFaultProb,RunningJob,ActionQos
130,1,0.0,0,0.225,0.0,1,0.0
280,1,0.0,0,0.2,0.0,1,1.9922429708926448
420,0,0.0,0,0.175,0.0,1,1.9990116338182071
500,1,0.0,0,0.225,0.0,1,1.9998269653717866
660,1,0.0,0,0.2,0.11428571428571428,1,1.9922429708926448
750,1,1.7763568394002505e-15,0,0.225,0.11428571428571428,1,1.9990116338182071
880,1,1.7763568394002505e-15,0,0.225,0.11428571428571428,1,1.9916910156204504
1030,1,1.7763568394002505e-15,0,0.2,1,1,1.9916910156204504
1120,6,1.7763568394002505e-15,0,0.225,1,1,1.9990116338182071
1250,8,1.7763568394002505e-15,0,0.225,1,1,1.9916910156204504
1370,6,1.7763568394002505e-15,0,0.225,1,1,1.9916910156204504
1500,6,1.7763568394002505e-15,0,0.225,1,1,1.9916910156204504
1620,6,1.7763568394002505e-15,0,0.225,1,1,1.9916910156204504
1750,6,1.7763568394002505e-15,0,0.225,1,1,1.9916910156204504
1870,6,1.7763568394002505e-15,0,0.225,1,1,1.9916910156204504
2000,6,1.7763568394002505e-15,0,0.225,1,1,1.9916910156204504
2120,6,1.7763568394002505e-15,0,0.225,1,1,1.9916910156204504
2240,6,1.7763568394002505e-15,0,0.225,1,1,1.9916910156204504
2370,6,1.7763568394002505e-15,0,0.225,1,1,1.9916910156204504
2490,6,1.7763568394002505e-15,0,0.225,1,1,1.9916910156204504
2620,6,1.7763568394002505e-15,0,0.225,1,1,1.9916910156204504
2740,8,1.7763568394002505e-15,0,0.225,1,1,1.9916910156204504
2870,6,1.7763568394002505e-15,0,0.225,1,1,1.9916910156204504
2990,6,1.7763568394002505e-15,0,0.225,0.4,1,1.9916910156204504
3120,1,1.7763568394002505e-15,0,0.225,0.4,1,1.9916910156204504
3270,1,1.7763568394002505e-15,0,0.2,1,1,1.9916910156204504
3360,6,1.7763568394002505e-15,0,0.225,0.4,1,1.9990116338182071
3520,1,1.7763568394002505e-15,0,0.2,1,1,1.9916910156204504
3610,6,1.7763568394002505e-15,0,0.225,1,1,1.9990116338182071
3740,6,1.7763568394002505e-15,0,0.225,1,1,1.9916910156204504
3860,6,1.7763568394002505e-15,0,0.225,1,1,1.9916910156204504
3990,6,1.7763568394002505e-15,0,0.225,1,1,1.9916910156204504
4140,1,1.7763568394002505e-15,2,0.2,1,1,1.9916910156204504
4240,0,18.518518518518515,5,0.225,1,1,1.9990116338182071
4360,0,24.897119341563787,7,0.225,1,1,1.9916910156204504
4510,0,17.48971193415638,7,0.2,1,1,1.9922429708926448
4610,1,6.995884773662551,7,0.225,1,1,1.9989410501273008
4760,1,-1.7763568394002505e-15,1,0.2,1,1,1.9908636559255006
4860,1,11.11111111111111,3,0.225,1,1,1.9989285946992679
5010,0,31.20713305898491,7,0.2,1,1,1.9907177226225226
5110,0,28.684651729919217,9,0.225,1,1,1.9990116338182071
5260,0,20.042676421277243,9,0.2,1,1,1.9916910156204504
5360,7,30.924317092584126,11,0.225,1,1,1.9989712996701874
5510,0,35.257629727476804,13,0.2,1,1,1.9912181544679677
5630,0,25.271855201235887,13,0.2,1,1,1.9987444504117944
5760,0,32.65115245363288,15,0.2,1,1,1.998777232742122
5880,0,24.40843752071151,15,0.2,1,1,1.9989171881854912
6010,1,36.41435572087154,19,0.2,1,1,1.998782800109035
6130,0,42.276894725043256,21,0.2,1,1,1.9988673678347033
6260,1,40.77517981046833,23,0.2,1,1,1.9988769970679017
6380,0,36.93430189551634,10,0.2,1,1,1.9985323302178157
6470,0,40.01683041111502,12,0.225,1,1,1.9987466363545594
6600,0,33.359647393621074,12,0.225,1,1,1.9885624885399142
6720,0,38.36524708440584,14,0.225,1,1,1.9889458621227725
6850,2,41.05752251417267,17,0.225,1,1,1.9905840960341374
6970,0,40.33855167756819,19,0.225,1,1,1.9890109832353002
7100,0,44.23001312599189,23,0.225,1,1,1.9900006461344495
