TIMESLOT,Throughout,Failure,Failurerate,User,mecAge,Run,commTotal,commEnergy,reward
10.0,82,1,0.012195121951219513,10,3.09,3420.0,0.5430074634814398,11.557457483531373,637.1345845874127
15.0,122,1,0.00819672131147541,10,4.49,5330.0,0.7848966604912461,16.602341894173772,952.4765876400837
20.0,163,1,0.006134969325153374,10,5.98,7230.0,1.0296363319400124,21.865924224224194,1275.329728460166
25.0,204,1,0.004901960784313725,10,57.32,9350.0,1.8192487438812792,44.87466073121375,1597.9063281612916
30.0,244,1,0.004098360655737705,10,233.71,11760.0,4.218844008596816,73.90634114848439,1909.3529618983418
35.0,285,1,0.0035087719298245615,10,562.84,13860.0,8.678410097400656,97.23315826538824,2220.3993254382212
40.0,326,1,0.003067484662576687,10,993.18,16110.0,14.011152155651326,116.9007262220618,2529.458555928083
45.0,366,1,0.00273224043715847,10,1506.22,18130.0,20.46046237713598,138.7908258203824,2826.2251954009716
50.0,407,1,0.002457002457002457,10,2220.33,19610.0,29.002171291202114,163.15994868352524,3116.258136747589
55.0,448,1,0.002232142857142857,10,2911.61,21770.0,36.85397233125063,181.4806998177919,3420.139145850425
60.0,488,1,0.0020491803278688526,10,3756.49,23460.0,46.09447624085221,200.54883247517796,3701.5778414374267
65.0,529,1,0.001890359168241966,10,4709.5,25260.0,56.21082788991457,217.5814377965261,3987.9502987723363
70.0,570,1,0.0017543859649122807,10,5679.42,27080.0,66.25509995867327,236.5337952398877,4275.411863317506
75.0,610,1,0.001639344262295082,10,6705.69,28700.0,77.07716331009802,253.48505035097082,4550.813899558721
80.0,651,1,0.0015360983102918587,10,7805.7,30240.0,88.8576772631855,268.05578424182954,4833.706899728538
85.0,692,1,0.001445086705202312,10,9024.21,31570.0,101.3464804763224,283.6583108983858,5103.7796830528905
90.0,732,1,0.001366120218579235,10,10115.92,33260.0,112.1341247675226,303.3738617429198,5386.884343138842
95.0,773,1,0.00129366106080207,10,11273.27,34910.0,123.48093479589593,320.78899552866966,5669.030104081006
100.0,814,1,0.0012285012285012285,10,12483.18,36550.0,135.32927637728045,338.77387027228804,5944.5404699499495
105.0,854,1,0.00117096018735363,10,13822.73,38020.0,148.28567627652265,360.0078165840712,6213.237829323104
110.0,895,1,0.0011173184357541898,10,14924.82,39930.0,158.81609458806258,378.7997260610681,6502.640073478043
115.0,936,1,0.0010683760683760685,10,16279.02,41520.0,171.40658036812718,393.12056280156406,6783.2219783251785
120.0,976,1,0.0010245901639344263,10,17492.21,43250.0,182.8192274738342,409.7721830194041,7060.477527769766
125.0,1017,1,0.0009832841691248771,10,18780.4,44990.0,194.79700445491025,427.4881496355743,7336.405073732915
130.0,1058,1,0.000945179584120983,10,20134.94,46520.0,207.2785812889532,444.69999714295665,7612.799540543348
135.0,1098,1,0.0009107468123861566,10,21388.42,48140.0,218.941952148674,462.89296301751676,7885.8002610261665
140.0,1139,1,0.000877963125548727,10,22475.5,50170.0,229.1781495046008,481.55954262452644,8176.891312541166
