sysTime,Action,ChannelUsed,TransJob,CPU,JobFaultProb,RunningJob,ActionQos
140,7,-3.552713678800501e-15,0,0.04375,0.4,1,0.0
260,7,-3.552713678800501e-15,0,0.04375,1,1,7.9970349231868925
380,7,-3.552713678800501e-15,0,0.04375,1,1,7.9970349231868925
510,7,-3.552713678800501e-15,0,0.04375,1,1,7.9970349231868925
630,7,-3.552713678800501e-15,0,0.04375,0.4,1,7.9970349231868925
750,7,11.119621066822397,1,0.04375,0.16,1,7.9970349231868925
880,7,-3.552713678800501e-15,0,0.04375,0.16,1,7.9970349231868925
1000,7,11.119621066822397,1,0.04375,0.16,1,7.9970349231868925
1120,7,-3.552713678800501e-15,0,0.04375,0.16,1,7.9970349231868925
1240,7,-3.552713678800501e-15,0,0.04375,0.16,1,7.9970349231868925
1370,7,-3.552713678800501e-15,0,0.04375,0.16,1,7.9970349231868925
1490,7,-3.552713678800501e-15,0,0.04375,0.16,1,7.9970349231868925
1610,7,-3.552713678800501e-15,0,0.04375,0.4,1,7.9970349231868925
1740,7,-3.552713678800501e-15,0,0.04375,0.4,1,7.9970349231868925
1860,7,-3.552713678800501e-15,0,0.04375,0.4,1,7.9970349231868925
1980,7,-3.552713678800501e-15,0,0.04375,0.4,1,7.9970349231868925
2110,7,-3.552713678800501e-15,0,0.04375,0.4,1,7.9970349231868925
2230,7,-3.552713678800501e-15,0,0.04375,0.4,1,7.9970349231868925
2350,7,11.119621066822397,1,0.04375,0.4,1,7.9970349231868925
2470,7,-3.552713678800501e-15,0,0.04375,0.4,1,7.9970349231868925
2600,7,11.119621066822397,1,0.04375,0.4,1,7.9970349231868925
2720,7,-3.552713678800501e-15,0,0.04375,0.4,1,7.9970349231868925
2840,7,-3.552713678800501e-15,0,0.04375,0.4,1,7.9970349231868925
2970,7,-3.552713678800501e-15,0,0.04375,0.4,1,7.9970349231868925
3090,7,-3.552713678800501e-15,0,0.04375,0.4,1,7.9970349231868925
