TIMESLOT,Throughout,Failure,Failurerate,User,mecAge,Run,commTotal,commEnergy,reward
10.0,70,1,0.014285714285714285,10,3.74,4510.0,0.2851101049098269,4.809194489951466,275.5636802929367
15.0,105,1,0.009523809523809525,10,6.09,6860.0,0.4234567800580079,6.643651707620497,415.3867330737563
20.0,140,1,0.007142857142857143,10,7.78,9180.0,0.5718453945835653,9.18848901191764,555.2014699655684
25.0,174,1,0.005747126436781609,10,9.66,11430.0,0.7153574597369978,11.513903226794207,691.0208648507898
30.0,209,1,0.004784688995215311,10,11.76,13810.0,0.8658661839220729,13.88782080965733,830.8457117083545
35.0,244,1,0.004098360655737705,10,13.66,16190.0,1.0189315725533437,16.307150417194222,970.6697263126329
40.0,279,1,0.0035842293906810036,10,40.71,18490.0,1.3274110025210468,19.914690838035124,1110.430963363519
45.0,314,1,0.0031847133757961785,10,171.05,20760.0,2.3631169177725178,33.375570165557875,1249.9545356389788
50.0,348,1,0.0028735632183908046,10,395.52,23040.0,4.3169861721004175,48.14108552618489,1385.2217826477527
55.0,383,1,0.0026109660574412533,10,746.82,25340.0,7.0229262012829015,62.840366200432676,1524.2333267343952
60.0,418,1,0.0023923444976076554,10,1211.02,27610.0,10.489959582076144,76.24325764259166,1662.984899545161
65.0,453,1,0.002207505518763797,10,1761.11,29960.0,14.51683959471074,89.05145171989649,1801.619834825894
70.0,488,1,0.0020491803278688526,10,2416.64,32270.0,19.26981110333357,100.63195663351456,1939.9974722753377
75.0,522,1,0.0019157088122605363,10,3149.12,34490.0,24.273726831788814,112.51156129192542,2074.2822200437895
80.0,557,1,0.0017953321364452424,10,3986.67,36800.0,29.690711433470177,122.40909377504535,2212.455954401875
85.0,592,1,0.0016891891891891893,10,4904.86,39070.0,35.344641879096045,133.01225721231157,2350.518757590217
90.0,627,1,0.001594896331738437,10,5913.14,41280.0,41.399367929932325,142.94223939390673,2488.3991783900033
95.0,662,1,0.0015105740181268882,10,6926.88,43600.0,47.2906634142944,153.49886883346528,2626.433223953959
100.0,696,1,0.0014367816091954023,10,8012.85,45850.0,53.65775882400117,162.21301004848883,2760.3231288459524
105.0,731,1,0.0013679890560875513,10,9128.24,48140.0,60.159976780252485,171.19921606570952,2898.144059595809
110.0,766,1,0.0013054830287206266,10,10295.23,50410.0,66.70787344278754,181.3971997249523,3035.9229809204035
115.0,801,1,0.0012484394506866417,10,11481.12,52680.0,73.11976299649093,191.87216647932865,3173.751473623536
120.0,836,1,0.0011961722488038277,10,12779.55,54960.0,80.00915171824147,202.0482580569084,3311.43763635435
125.0,870,1,0.0011494252873563218,10,14032.01,57140.0,86.62933073371748,210.94845591700758,3445.166791482259
130.0,905,1,0.0011049723756906078,10,15324.2,59380.0,93.30932447817156,220.93282439293787,3582.880950233745
135.0,940,1,0.0010638297872340426,10,16558.69,61680.0,99.64429123826561,231.42286189716492,3720.7654155327295
140.0,975,1,0.0010256410256410256,10,17914.02,63950.0,106.72957273730499,241.1868499950762,3858.379469216466
