No,Uid,Jid,offloadtime,commutime,runtime,energy,AoI,state
0,9,3,0.1,0.000608285442707829,0.1,0.004491471650207685,0.02,CP
1,8,6,0.2,0.00188318374155575,0.09,0.009841540659123805,0.03,CP
2,8,7,0.3,0.0016610857822990186,0.09,0.009555478487601137,0.03,CP
3,9,4,0.4,0.000608285442707829,0.1,0.004491471650207685,0.04,CP
4,4,20,0.5,0.006315660939802157,0.05,0.030382571290465177,0.04,CP
5,9,5,0.55,0.001052610156633693,0.1,0.005063761881744197,0.1,CP
6,8,9,0.65,0.002105220313267386,0.09,0.010127523763488393,0.11,CP
7,9,7,0.8,0.0011636065435746742,0.1,0.005206725228124181,0.06,CP
8,4,25,0.95,0.004983257346897056,0.05,0.02866643546280341,0.01,CP
9,4,27,1.05,0.004316693861377844,0.05,0.02780790169345467,0.02,CP
10,4,28,1.15,0.00564955122466725,0.05,0.029524621977371417,0.02,CP
11,8,13,1.25,0.00188318374155575,0.09,0.009841540659123805,0.04,CP
12,9,10,1.35,0.001052610156633693,0.1,0.005063761881744197,0.04,CP
13,8,16,1.45,0.0023272130871493484,0.09,0.010413450456248361,0.05,CP
14,8,17,1.55,0.002105220313267386,0.09,0.010127523763488393,0.06,CP
15,8,19,1.65,0.0023272130871493484,0.09,0.010413450456248361,0.06,CP
16,9,14,1.8,0.000941591870777875,0.1,0.004920770329561903,0.02,CP
17,9,15,1.9,0.000941591870777875,0.1,0.004920770329561903,0.02,CP
18,9,16,2.0,0.0008305428911495093,0.1,0.004777739243800569,0.03,CP
19,8,24,2.1,0.002105220313267386,0.09,0.010127523763488393,0.04,CP
20,9,18,2.2,0.000608285442707829,0.1,0.004491471650207685,0.04,CP
21,9,20,2.3,0.001052610156633693,0.1,0.005063761881744197,0.05,CP
22,8,28,2.35,0.0014388979537926143,0.09,0.009269300564484887,0.1,CP
23,8,29,2.5,0.0016610857822990186,0.09,0.009555478487601137,0.06,CP
24,4,42,2.65,0.006981639261448044,0.05,0.031240351368745083,0.01,CP
25,4,43,2.75,0.00564955122466725,0.05,0.029524621977371417,0.01,CP
26,9,24,2.7,0.000941591870777875,0.1,0.004920770329561903,0.18,CP
27,4,44,2.95,0.006315660939802157,0.05,0.030382571290465177,0.02,CP
28,4,45,3.0,0.004316693861377844,0.05,0.02780790169345467,0.08,CP
29,9,27,3.15,0.0008305428911495093,0.1,0.004777739243800569,0.05,CP
30,8,33,3.2,0.0016610857822990186,0.09,0.009555478487601137,0.1,CP
31,4,47,3.2,0.004983257346897056,0.05,0.02866643546280341,0.2,CP
32,8,34,3.45,0.00188318374155575,0.09,0.009841540659123805,0.06,CP
33,9,31,3.6,0.000941591870777875,0.1,0.004920770329561903,0.02,CP
34,9,33,3.7,0.0014965130695999145,0.1,0.005635508833644691,0.03,CP
35,9,34,3.8,0.0012745867578076498,0.1,0.005349667744056254,0.03,CP
36,9,35,3.9,0.001052610156633693,0.1,0.005063761881744197,0.04,CP
37,4,54,4.0,0.00564955122466725,0.05,0.029524621977371417,0.03,CP
38,9,37,4.1,0.001052610156633693,0.1,0.005063761881744197,0.05,CP
39,9,39,4.2,0.0008305428911495093,0.1,0.004777739243800569,0.06,CP
40,8,43,4.3,0.0016610857822990186,0.09,0.009555478487601137,0.06,CP
41,9,41,4.45,0.000941591870777875,0.1,0.004920770329561903,0.02,CP
42,9,43,4.55,0.0011636065435746742,0.1,0.005206725228124181,0.02,CP
43,9,45,4.65,0.0007194489768963071,0.1,0.0046346502822424435,0.03,CP
44,4,62,4.75,0.00564955122466725,0.05,0.029524621977371417,0.03,CP
45,9,47,4.85,0.001052610156633693,0.1,0.005063761881744197,0.04,CP
46,9,48,4.95,0.001052610156633693,0.1,0.005063761881744197,0.05,CP
47,8,50,5.05,0.002105220313267386,0.09,0.010127523763488393,0.05,CP
48,9,51,5.15,0.001052610156633693,0.1,0.005063761881744197,0.06,CP
49,9,52,5.25,0.001052610156633693,0.1,0.005063761881744197,0.07,CP
50,8,54,5.25,0.002105220313267386,0.09,0.010127523763488393,0.17,CP
51,8,55,5.5,0.0016610857822990186,0.09,0.009555478487601137,0.03,CP
52,4,68,5.6,0.004983257346897056,0.05,0.02866643546280341,0.02,CP
53,9,55,5.7,0.0011636065435746742,0.1,0.005206725228124181,0.04,CP
54,9,57,5.8,0.001052610156633693,0.1,0.005063761881744197,0.05,CP
55,9,58,5.9,0.0012745867578076498,0.1,0.005349667744056254,0.05,CP
56,9,59,6.0,0.0008305428911495093,0.1,0.004777739243800569,0.06,CP
57,9,60,6.1,0.0012745867578076498,0.1,0.005349667744056254,0.06,CP
58,9,62,6.25,0.000941591870777875,0.1,0.004920770329561903,0.02,CP
59,9,64,6.35,0.0011636065435746742,0.1,0.005206725228124181,0.03,CP
60,8,66,6.45,0.0016610857822990186,0.09,0.009555478487601137,0.03,CP
61,9,67,6.55,0.0011636065435746742,0.1,0.005206725228124181,0.04,CP
62,8,68,6.6,0.0016610857822990186,0.09,0.009555478487601137,0.09,CP
63,8,69,6.75,0.0016610857822990186,0.09,0.009555478487601137,0.05,CP
64,9,68,6.8,0.001052610156633693,0.1,0.005063761881744197,0.11,CP
65,8,70,6.95,0.0016610857822990186,0.09,0.009555478487601137,0.06,CP
66,4,83,7.1,0.004316693861377844,0.05,0.02780790169345467,0.01,CP
67,9,69,7.2,0.000941591870777875,0.1,0.004920770329561903,0.02,CP
68,9,70,7.3,0.0011636065435746742,0.1,0.005206725228124181,0.03,CP
69,8,73,7.4,0.0016610857822990186,0.09,0.009555478487601137,0.04,CP
70,9,72,7.5,0.000941591870777875,0.1,0.004920770329561903,0.04,CP
71,9,73,7.6,0.0012745867578076498,0.1,0.005349667744056254,0.05,CP
72,9,75,7.7,0.000941591870777875,0.1,0.004920770329561903,0.05,CP
73,8,76,7.75,0.00188318374155575,0.09,0.009841540659123805,0.11,CP
74,8,77,7.9,0.0016610857822990186,0.09,0.009555478487601137,0.07,CP
75,9,77,8.05,0.001052610156633693,0.1,0.005063761881744197,0.02,CP
76,4,97,8.15,0.004983257346897056,0.05,0.02866643546280341,0.02,CP
77,9,78,8.25,0.0011636065435746742,0.1,0.005206725228124181,0.04,CP
78,9,79,8.35,0.0014965130695999145,0.1,0.005635508833644691,0.04,CP
79,9,80,8.45,0.001052610156633693,0.1,0.005063761881744197,0.05,CP
80,9,81,8.5,0.0009415918707778748,0.1,0.004920770329561903,0.1,CP
81,8,87,8.65,0.0025491735156152997,0.09,0.010699335488112508,0.06,CP
82,8,89,8.8,0.0016610857822990186,0.09,0.009555478487601137,0.02,CP
83,9,85,8.9,0.000608285442707829,0.1,0.004491471650207685,0.02,CP
84,4,108,8.9,0.003649712656246974,0.05,0.026948829901246106,0.12,CP
85,9,86,9.1,0.0011636065435746742,0.1,0.005206725228124181,0.03,CP
86,9,88,9.2,0.001163606543574674,0.1,0.00520672522812418,0.04,CP
87,9,90,9.3,0.001052610156633693,0.1,0.005063761881744197,0.05,CP
88,9,91,9.4,0.000941591870777875,0.1,0.004920770329561903,0.05,CP
89,9,93,9.5,0.001052610156633693,0.1,0.005063761881744197,0.06,CP
90,8,94,9.6,0.00188318374155575,0.09,0.009841540659123805,0.06,CP
91,4,118,9.75,0.006315660939802157,0.05,0.030382571290465177,0.01,CP
92,9,96,9.85,0.000941591870777875,0.1,0.004920770329561903,0.03,CP
93,8,98,9.95,0.00188318374155575,0.09,0.009841540659123805,0.03,CP
94,9,3,0.1,0.000608285442707829,0.1,0.004491471650207685,0.02,CP
95,8,6,0.2,0.00188318374155575,0.09,0.009841540659123805,0.03,CP
96,8,7,0.3,0.0016610857822990186,0.09,0.009555478487601137,0.03,CP
97,9,4,0.4,0.000608285442707829,0.1,0.004491471650207685,0.04,CP
98,4,20,0.5,0.006315660939802157,0.05,0.030382571290465177,0.04,CP
99,9,5,0.55,0.001052610156633693,0.1,0.005063761881744197,0.1,CP
100,8,9,0.65,0.002105220313267386,0.09,0.010127523763488393,0.11,CP
101,9,7,0.8,0.0011636065435746742,0.1,0.005206725228124181,0.06,CP
102,4,25,0.95,0.004983257346897056,0.05,0.02866643546280341,0.01,CP
103,4,27,1.05,0.004316693861377844,0.05,0.02780790169345467,0.02,CP
104,4,28,1.15,0.00564955122466725,0.05,0.029524621977371417,0.02,CP
105,8,13,1.25,0.00188318374155575,0.09,0.009841540659123805,0.04,CP
106,9,10,1.35,0.001052610156633693,0.1,0.005063761881744197,0.04,CP
107,8,16,1.45,0.0023272130871493484,0.09,0.010413450456248361,0.05,CP
108,8,17,1.55,0.002105220313267386,0.09,0.010127523763488393,0.06,CP
109,8,19,1.65,0.0023272130871493484,0.09,0.010413450456248361,0.06,CP
110,9,14,1.8,0.000941591870777875,0.1,0.004920770329561903,0.02,CP
111,9,15,1.9,0.000941591870777875,0.1,0.004920770329561903,0.02,CP
112,9,16,2.0,0.0008305428911495093,0.1,0.004777739243800569,0.03,CP
113,8,24,2.1,0.002105220313267386,0.09,0.010127523763488393,0.04,CP
114,9,18,2.2,0.000608285442707829,0.1,0.004491471650207685,0.04,CP
115,9,20,2.3,0.001052610156633693,0.1,0.005063761881744197,0.05,CP
116,8,28,2.35,0.0014388979537926143,0.09,0.009269300564484887,0.1,CP
117,8,29,2.5,0.0016610857822990186,0.09,0.009555478487601137,0.06,CP
118,4,42,2.65,0.006981639261448044,0.05,0.031240351368745083,0.01,CP
119,4,43,2.75,0.00564955122466725,0.05,0.029524621977371417,0.01,CP
120,9,24,2.7,0.000941591870777875,0.1,0.004920770329561903,0.18,CP
121,4,44,2.95,0.006315660939802157,0.05,0.030382571290465177,0.02,CP
122,4,45,3.0,0.004316693861377844,0.05,0.02780790169345467,0.08,CP
123,9,27,3.15,0.0008305428911495093,0.1,0.004777739243800569,0.05,CP
124,8,33,3.2,0.0016610857822990186,0.09,0.009555478487601137,0.1,CP
125,4,47,3.2,0.004983257346897056,0.05,0.02866643546280341,0.2,CP
126,8,34,3.45,0.00188318374155575,0.09,0.009841540659123805,0.06,CP
127,9,31,3.6,0.000941591870777875,0.1,0.004920770329561903,0.02,CP
128,9,33,3.7,0.0014965130695999145,0.1,0.005635508833644691,0.03,CP
129,9,34,3.8,0.0012745867578076498,0.1,0.005349667744056254,0.03,CP
130,9,35,3.9,0.001052610156633693,0.1,0.005063761881744197,0.04,CP
131,4,54,4.0,0.00564955122466725,0.05,0.029524621977371417,0.03,CP
132,9,37,4.1,0.001052610156633693,0.1,0.005063761881744197,0.05,CP
133,9,39,4.2,0.0008305428911495093,0.1,0.004777739243800569,0.06,CP
134,8,43,4.3,0.0016610857822990186,0.09,0.009555478487601137,0.06,CP
135,9,41,4.45,0.000941591870777875,0.1,0.004920770329561903,0.02,CP
136,9,43,4.55,0.0011636065435746742,0.1,0.005206725228124181,0.02,CP
137,9,45,4.65,0.0007194489768963071,0.1,0.0046346502822424435,0.03,CP
138,4,62,4.75,0.00564955122466725,0.05,0.029524621977371417,0.03,CP
139,9,47,4.85,0.001052610156633693,0.1,0.005063761881744197,0.04,CP
140,9,48,4.95,0.001052610156633693,0.1,0.005063761881744197,0.05,CP
141,8,50,5.05,0.002105220313267386,0.09,0.010127523763488393,0.05,CP
142,9,51,5.15,0.001052610156633693,0.1,0.005063761881744197,0.06,CP
143,9,52,5.25,0.001052610156633693,0.1,0.005063761881744197,0.07,CP
144,8,54,5.25,0.002105220313267386,0.09,0.010127523763488393,0.17,CP
145,8,55,5.5,0.0016610857822990186,0.09,0.009555478487601137,0.03,CP
146,4,68,5.6,0.004983257346897056,0.05,0.02866643546280341,0.02,CP
147,9,55,5.7,0.0011636065435746742,0.1,0.005206725228124181,0.04,CP
148,9,57,5.8,0.001052610156633693,0.1,0.005063761881744197,0.05,CP
149,9,58,5.9,0.0012745867578076498,0.1,0.005349667744056254,0.05,CP
