TIMESLOT,Throughout,Failure,Failurerate,User,mecAge,Run,commTotal,commEnergy,reward
10.0,13,1,0.07692307692307693,3,8.48,1040.0,0.020144571353096597,0.12977020790278845,23.993811990194214
15.0,13,1,0.07692307692307693,3,8.48,1040.0,0.020144571353096597,0.12977020790278845,23.993811990194214
20.0,13,1,0.07692307692307693,3,8.48,1040.0,0.020144571353096597,0.12977020790278845,23.993811990194214
25.0,13,1,0.07692307692307693,3,8.48,1040.0,0.020144571353096597,0.12977020790278845,23.993811990194214
30.0,13,1,0.07692307692307693,3,8.48,1040.0,0.020144571353096597,0.12977020790278845,23.993811990194214
35.0,13,1,0.07692307692307693,3,8.48,1040.0,0.020144571353096597,0.12977020790278845,23.993811990194214
40.0,13,1,0.07692307692307693,3,8.48,1040.0,0.020144571353096597,0.12977020790278845,23.993811990194214
45.0,13,1,0.07692307692307693,3,8.48,1040.0,0.020144571353096597,0.12977020790278845,23.993811990194214
50.0,13,1,0.07692307692307693,3,8.48,1040.0,0.020144571353096597,0.12977020790278845,23.993811990194214
55.0,13,1,0.07692307692307693,3,8.48,1040.0,0.020144571353096597,0.12977020790278845,23.993811990194214
60.0,13,1,0.07692307692307693,3,8.48,1040.0,0.020144571353096597,0.12977020790278845,23.993811990194214
65.0,13,1,0.07692307692307693,3,8.48,1040.0,0.020144571353096597,0.12977020790278845,23.993811990194214
70.0,13,1,0.07692307692307693,3,8.48,1040.0,0.020144571353096597,0.12977020790278845,23.993811990194214
75.0,13,1,0.07692307692307693,3,8.48,1040.0,0.020144571353096597,0.12977020790278845,23.993811990194214
80.0,13,1,0.07692307692307693,3,8.48,1040.0,0.020144571353096597,0.12977020790278845,23.993811990194214
85.0,13,1,0.07692307692307693,3,8.48,1040.0,0.020144571353096597,0.12977020790278845,23.993811990194214
90.0,13,1,0.07692307692307693,3,8.48,1040.0,0.020144571353096597,0.12977020790278845,23.993811990194214
95.0,13,1,0.07692307692307693,3,8.48,1040.0,0.020144571353096597,0.12977020790278845,23.993811990194214
100.0,13,1,0.07692307692307693,3,8.48,1040.0,0.020144571353096597,0.12977020790278845,23.993811990194214
105.0,13,1,0.07692307692307693,3,8.48,1040.0,0.020144571353096597,0.12977020790278845,23.993811990194214
110.0,13,1,0.07692307692307693,3,8.48,1040.0,0.020144571353096597,0.12977020790278845,23.993811990194214
115.0,13,1,0.07692307692307693,3,8.48,1040.0,0.020144571353096597,0.12977020790278845,23.993811990194214
120.0,13,1,0.07692307692307693,3,8.48,1040.0,0.020144571353096597,0.12977020790278845,23.993811990194214
125.0,13,1,0.07692307692307693,3,8.48,1040.0,0.020144571353096597,0.12977020790278845,23.993811990194214
130.0,13,1,0.07692307692307693,3,8.48,1040.0,0.020144571353096597,0.12977020790278845,23.993811990194214
135.0,13,1,0.07692307692307693,3,8.48,1040.0,0.020144571353096597,0.12977020790278845,23.993811990194214
140.0,13,1,0.07692307692307693,3,8.48,1040.0,0.020144571353096597,0.12977020790278845,23.993811990194214
